Converting /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90133015505/90133015505Aligned.out.bam to /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90133015505/90133015505Aligned.out.bam.junc
100000 valid, 8541 problematic spliced reads
200000 valid, 17081 problematic spliced reads
300000 valid, 25531 problematic spliced reads
400000 valid, 34118 problematic spliced reads
500000 valid, 42739 problematic spliced reads
600000 valid, 51394 problematic spliced reads
700000 valid, 60013 problematic spliced reads
800000 valid, 68659 problematic spliced reads
900000 valid, 77364 problematic spliced reads
1000000 valid, 85976 problematic spliced reads
1100000 valid, 94443 problematic spliced reads
1200000 valid, 103005 problematic spliced reads
1300000 valid, 111551 problematic spliced reads
1400000 valid, 120247 problematic spliced reads
1500000 valid, 128702 problematic spliced reads
1600000 valid, 137264 problematic spliced reads
1700000 valid, 145765 problematic spliced reads
1800000 valid, 154369 problematic spliced reads
1900000 valid, 163141 problematic spliced reads
2000000 valid, 171679 problematic spliced reads
2100000 valid, 180247 problematic spliced reads
2200000 valid, 188900 problematic spliced reads
2300000 valid, 197438 problematic spliced reads
2400000 valid, 206080 problematic spliced reads
2500000 valid, 214691 problematic spliced reads
2600000 valid, 223486 problematic spliced reads
2700000 valid, 232060 problematic spliced reads
2800000 valid, 240546 problematic spliced reads
2900000 valid, 249006 problematic spliced reads
3000000 valid, 257792 problematic spliced reads
3100000 valid, 266259 problematic spliced reads
3200000 valid, 274899 problematic spliced reads
3300000 valid, 283555 problematic spliced reads
3400000 valid, 292097 problematic spliced reads
3500000 valid, 300698 problematic spliced reads
3600000 valid, 309070 problematic spliced reads
3700000 valid, 317794 problematic spliced reads
3800000 valid, 326433 problematic spliced reads
3900000 valid, 335163 problematic spliced reads
4000000 valid, 343761 problematic spliced reads
4100000 valid, 352339 problematic spliced reads
4200000 valid, 361089 problematic spliced reads
4300000 valid, 369701 problematic spliced reads
4400000 valid, 378108 problematic spliced reads
4500000 valid, 386595 problematic spliced reads
4600000 valid, 395238 problematic spliced reads
