Converting /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90127015505/90127015505Aligned.out.bam to /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90127015505/90127015505Aligned.out.bam.junc
100000 valid, 8701 problematic spliced reads
200000 valid, 17707 problematic spliced reads
300000 valid, 26893 problematic spliced reads
400000 valid, 35776 problematic spliced reads
500000 valid, 44615 problematic spliced reads
600000 valid, 53457 problematic spliced reads
700000 valid, 62343 problematic spliced reads
800000 valid, 71315 problematic spliced reads
900000 valid, 80267 problematic spliced reads
1000000 valid, 89220 problematic spliced reads
1100000 valid, 98111 problematic spliced reads
1200000 valid, 107173 problematic spliced reads
1300000 valid, 116096 problematic spliced reads
1400000 valid, 125041 problematic spliced reads
1500000 valid, 134154 problematic spliced reads
1600000 valid, 142989 problematic spliced reads
1700000 valid, 151965 problematic spliced reads
1800000 valid, 160870 problematic spliced reads
1900000 valid, 169799 problematic spliced reads
2000000 valid, 178668 problematic spliced reads
2100000 valid, 187467 problematic spliced reads
2200000 valid, 196602 problematic spliced reads
2300000 valid, 205421 problematic spliced reads
2400000 valid, 214404 problematic spliced reads
2500000 valid, 223268 problematic spliced reads
2600000 valid, 232347 problematic spliced reads
2700000 valid, 241230 problematic spliced reads
2800000 valid, 250152 problematic spliced reads
2900000 valid, 259010 problematic spliced reads
3000000 valid, 267858 problematic spliced reads
3100000 valid, 276712 problematic spliced reads
3200000 valid, 285716 problematic spliced reads
3300000 valid, 294791 problematic spliced reads
3400000 valid, 303784 problematic spliced reads
3500000 valid, 312823 problematic spliced reads
3600000 valid, 321676 problematic spliced reads
3700000 valid, 330599 problematic spliced reads
3800000 valid, 339467 problematic spliced reads
3900000 valid, 348411 problematic spliced reads
4000000 valid, 357400 problematic spliced reads
4100000 valid, 366214 problematic spliced reads
4200000 valid, 375199 problematic spliced reads
4300000 valid, 384027 problematic spliced reads
4400000 valid, 393113 problematic spliced reads
4500000 valid, 402283 problematic spliced reads
4600000 valid, 411310 problematic spliced reads
4700000 valid, 420315 problematic spliced reads
4800000 valid, 429212 problematic spliced reads
4900000 valid, 438170 problematic spliced reads
5000000 valid, 446995 problematic spliced reads
5100000 valid, 456050 problematic spliced reads
5200000 valid, 464841 problematic spliced reads
5300000 valid, 473829 problematic spliced reads
5400000 valid, 482812 problematic spliced reads
5500000 valid, 491789 problematic spliced reads
5600000 valid, 500798 problematic spliced reads
5700000 valid, 509909 problematic spliced reads
5800000 valid, 518832 problematic spliced reads
5900000 valid, 527708 problematic spliced reads
6000000 valid, 536640 problematic spliced reads
6100000 valid, 545559 problematic spliced reads
6200000 valid, 554388 problematic spliced reads
6300000 valid, 563223 problematic spliced reads
6400000 valid, 572199 problematic spliced reads
6500000 valid, 580971 problematic spliced reads
6600000 valid, 589823 problematic spliced reads
6700000 valid, 598968 problematic spliced reads
6800000 valid, 608011 problematic spliced reads
6900000 valid, 617026 problematic spliced reads
7000000 valid, 625996 problematic spliced reads
7100000 valid, 635186 problematic spliced reads
7200000 valid, 644062 problematic spliced reads
7300000 valid, 652925 problematic spliced reads
7400000 valid, 661843 problematic spliced reads
7500000 valid, 670903 problematic spliced reads
7600000 valid, 679866 problematic spliced reads
7700000 valid, 688945 problematic spliced reads
7800000 valid, 697938 problematic spliced reads
7900000 valid, 706851 problematic spliced reads
8000000 valid, 715607 problematic spliced reads
8100000 valid, 724519 problematic spliced reads
8200000 valid, 733613 problematic spliced reads
8300000 valid, 742611 problematic spliced reads
8400000 valid, 751553 problematic spliced reads
8500000 valid, 760263 problematic spliced reads
8600000 valid, 769326 problematic spliced reads
8700000 valid, 778257 problematic spliced reads
8800000 valid, 787153 problematic spliced reads
8900000 valid, 796099 problematic spliced reads
9000000 valid, 805141 problematic spliced reads
9100000 valid, 814094 problematic spliced reads
9200000 valid, 823023 problematic spliced reads
9300000 valid, 832024 problematic spliced reads
9400000 valid, 840830 problematic spliced reads
9500000 valid, 849744 problematic spliced reads
9600000 valid, 858733 problematic spliced reads
9700000 valid, 867662 problematic spliced reads
9800000 valid, 876644 problematic spliced reads
9900000 valid, 885554 problematic spliced reads
10000000 valid, 894485 problematic spliced reads
10100000 valid, 903428 problematic spliced reads
