Converting /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90141015505/90141015505Aligned.out.bam to /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90141015505/90141015505Aligned.out.bam.junc
100000 valid, 8595 problematic spliced reads
200000 valid, 16985 problematic spliced reads
300000 valid, 25624 problematic spliced reads
400000 valid, 33890 problematic spliced reads
500000 valid, 42500 problematic spliced reads
600000 valid, 51094 problematic spliced reads
700000 valid, 59654 problematic spliced reads
800000 valid, 68020 problematic spliced reads
900000 valid, 76539 problematic spliced reads
1000000 valid, 85236 problematic spliced reads
1100000 valid, 93729 problematic spliced reads
1200000 valid, 102198 problematic spliced reads
1300000 valid, 110586 problematic spliced reads
1400000 valid, 119124 problematic spliced reads
1500000 valid, 127659 problematic spliced reads
1600000 valid, 136072 problematic spliced reads
1700000 valid, 144599 problematic spliced reads
1800000 valid, 153242 problematic spliced reads
1900000 valid, 161873 problematic spliced reads
2000000 valid, 170426 problematic spliced reads
2100000 valid, 178875 problematic spliced reads
2200000 valid, 187140 problematic spliced reads
2300000 valid, 195673 problematic spliced reads
2400000 valid, 204198 problematic spliced reads
2500000 valid, 212450 problematic spliced reads
2600000 valid, 221012 problematic spliced reads
2700000 valid, 229474 problematic spliced reads
2800000 valid, 237889 problematic spliced reads
2900000 valid, 246428 problematic spliced reads
3000000 valid, 255014 problematic spliced reads
3100000 valid, 263439 problematic spliced reads
3200000 valid, 271930 problematic spliced reads
3300000 valid, 280431 problematic spliced reads
3400000 valid, 289187 problematic spliced reads
3500000 valid, 297848 problematic spliced reads
3600000 valid, 306271 problematic spliced reads
3700000 valid, 314707 problematic spliced reads
3800000 valid, 323073 problematic spliced reads
3900000 valid, 331568 problematic spliced reads
4000000 valid, 340118 problematic spliced reads
4100000 valid, 348539 problematic spliced reads
4200000 valid, 357162 problematic spliced reads
4300000 valid, 365735 problematic spliced reads
4400000 valid, 374196 problematic spliced reads
4500000 valid, 382808 problematic spliced reads
4600000 valid, 391220 problematic spliced reads
4700000 valid, 399724 problematic spliced reads
4800000 valid, 408253 problematic spliced reads
4900000 valid, 416636 problematic spliced reads
5000000 valid, 425117 problematic spliced reads
5100000 valid, 433795 problematic spliced reads
5200000 valid, 442016 problematic spliced reads
5300000 valid, 450662 problematic spliced reads
5400000 valid, 459188 problematic spliced reads
5500000 valid, 467839 problematic spliced reads
5600000 valid, 476285 problematic spliced reads
5700000 valid, 484707 problematic spliced reads
5800000 valid, 493159 problematic spliced reads
5900000 valid, 501779 problematic spliced reads
6000000 valid, 510129 problematic spliced reads
6100000 valid, 518530 problematic spliced reads
6200000 valid, 526919 problematic spliced reads
6300000 valid, 535518 problematic spliced reads
6400000 valid, 544259 problematic spliced reads
6500000 valid, 552795 problematic spliced reads
6600000 valid, 561273 problematic spliced reads
6700000 valid, 569775 problematic spliced reads
6800000 valid, 578185 problematic spliced reads
6900000 valid, 586722 problematic spliced reads
7000000 valid, 595269 problematic spliced reads
7100000 valid, 603990 problematic spliced reads
7200000 valid, 612655 problematic spliced reads
7300000 valid, 620991 problematic spliced reads
7400000 valid, 629491 problematic spliced reads
7500000 valid, 637748 problematic spliced reads
7600000 valid, 646203 problematic spliced reads
7700000 valid, 654731 problematic spliced reads
7800000 valid, 663208 problematic spliced reads
7900000 valid, 671772 problematic spliced reads
8000000 valid, 680146 problematic spliced reads
8100000 valid, 688770 problematic spliced reads
8200000 valid, 697252 problematic spliced reads
8300000 valid, 705643 problematic spliced reads
8400000 valid, 714102 problematic spliced reads
8500000 valid, 722678 problematic spliced reads
8600000 valid, 731118 problematic spliced reads
8700000 valid, 739504 problematic spliced reads
8800000 valid, 748034 problematic spliced reads
8900000 valid, 756558 problematic spliced reads
9000000 valid, 765224 problematic spliced reads
9100000 valid, 773818 problematic spliced reads
9200000 valid, 782167 problematic spliced reads
9300000 valid, 790706 problematic spliced reads
9400000 valid, 799242 problematic spliced reads
9500000 valid, 807825 problematic spliced reads
9600000 valid, 816303 problematic spliced reads
9700000 valid, 824723 problematic spliced reads
9800000 valid, 833210 problematic spliced reads
9900000 valid, 841511 problematic spliced reads
10000000 valid, 850243 problematic spliced reads
10100000 valid, 858720 problematic spliced reads
10200000 valid, 867386 problematic spliced reads
10300000 valid, 875978 problematic spliced reads
10400000 valid, 884572 problematic spliced reads
10500000 valid, 893212 problematic spliced reads
10600000 valid, 901494 problematic spliced reads
10700000 valid, 910159 problematic spliced reads
10800000 valid, 918559 problematic spliced reads
10900000 valid, 927049 problematic spliced reads
11000000 valid, 935736 problematic spliced reads
11100000 valid, 944137 problematic spliced reads
11200000 valid, 952574 problematic spliced reads
11300000 valid, 961088 problematic spliced reads
11400000 valid, 969623 problematic spliced reads
11500000 valid, 978189 problematic spliced reads
11600000 valid, 986683 problematic spliced reads
11700000 valid, 995318 problematic spliced reads
11800000 valid, 1003874 problematic spliced reads
11900000 valid, 1012424 problematic spliced reads
12000000 valid, 1020876 problematic spliced reads
12100000 valid, 1029446 problematic spliced reads
12200000 valid, 1038125 problematic spliced reads
12300000 valid, 1046586 problematic spliced reads
12400000 valid, 1055191 problematic spliced reads
12500000 valid, 1063809 problematic spliced reads
12600000 valid, 1072350 problematic spliced reads
12700000 valid, 1080953 problematic spliced reads
12800000 valid, 1089439 problematic spliced reads
12900000 valid, 1098020 problematic spliced reads
13000000 valid, 1106734 problematic spliced reads
13100000 valid, 1115248 problematic spliced reads
13200000 valid, 1123867 problematic spliced reads
13300000 valid, 1132565 problematic spliced reads
13400000 valid, 1141119 problematic spliced reads
13500000 valid, 1149785 problematic spliced reads
13600000 valid, 1158464 problematic spliced reads
13700000 valid, 1166928 problematic spliced reads
13800000 valid, 1175645 problematic spliced reads
13900000 valid, 1184132 problematic spliced reads
14000000 valid, 1192634 problematic spliced reads
14100000 valid, 1201154 problematic spliced reads
14200000 valid, 1209667 problematic spliced reads
14300000 valid, 1218231 problematic spliced reads
14400000 valid, 1226821 problematic spliced reads
14500000 valid, 1235399 problematic spliced reads
14600000 valid, 1244050 problematic spliced reads
14700000 valid, 1252559 problematic spliced reads
14800000 valid, 1261048 problematic spliced reads
14900000 valid, 1269611 problematic spliced reads
15000000 valid, 1278268 problematic spliced reads
15100000 valid, 1287023 problematic spliced reads
15200000 valid, 1295519 problematic spliced reads
15300000 valid, 1303902 problematic spliced reads
15400000 valid, 1312385 problematic spliced reads
15500000 valid, 1320861 problematic spliced reads
15600000 valid, 1329368 problematic spliced reads
15700000 valid, 1337815 problematic spliced reads
15800000 valid, 1346328 problematic spliced reads
15900000 valid, 1354828 problematic spliced reads
16000000 valid, 1363459 problematic spliced reads
16100000 valid, 1371951 problematic spliced reads
16200000 valid, 1380445 problematic spliced reads
16300000 valid, 1389000 problematic spliced reads
16400000 valid, 1397427 problematic spliced reads
16500000 valid, 1405993 problematic spliced reads
16600000 valid, 1414487 problematic spliced reads
16700000 valid, 1423015 problematic spliced reads
16800000 valid, 1431489 problematic spliced reads
16900000 valid, 1440223 problematic spliced reads
17000000 valid, 1448730 problematic spliced reads
17100000 valid, 1457284 problematic spliced reads
17200000 valid, 1465747 problematic spliced reads
17300000 valid, 1474099 problematic spliced reads
17400000 valid, 1482637 problematic spliced reads
17500000 valid, 1491085 problematic spliced reads
17600000 valid, 1499364 problematic spliced reads
17700000 valid, 1507858 problematic spliced reads
17800000 valid, 1516261 problematic spliced reads
17900000 valid, 1524891 problematic spliced reads
18000000 valid, 1533343 problematic spliced reads
18100000 valid, 1541899 problematic spliced reads
18200000 valid, 1550465 problematic spliced reads
18300000 valid, 1559150 problematic spliced reads
18400000 valid, 1567657 problematic spliced reads
18500000 valid, 1576276 problematic spliced reads
18600000 valid, 1584937 problematic spliced reads
18700000 valid, 1593557 problematic spliced reads
18800000 valid, 1602096 problematic spliced reads
18900000 valid, 1610863 problematic spliced reads
19000000 valid, 1619297 problematic spliced reads
19100000 valid, 1627843 problematic spliced reads
19200000 valid, 1636318 problematic spliced reads
19300000 valid, 1644998 problematic spliced reads
19400000 valid, 1653654 problematic spliced reads
19500000 valid, 1662399 problematic spliced reads
19600000 valid, 1670940 problematic spliced reads
19700000 valid, 1679489 problematic spliced reads
19800000 valid, 1687986 problematic spliced reads
19900000 valid, 1696530 problematic spliced reads
20000000 valid, 1705211 problematic spliced reads
20100000 valid, 1713686 problematic spliced reads
20200000 valid, 1722339 problematic spliced reads
20300000 valid, 1731053 problematic spliced reads
20400000 valid, 1739746 problematic spliced reads
20500000 valid, 1748296 problematic spliced reads
20600000 valid, 1756994 problematic spliced reads
20700000 valid, 1765783 problematic spliced reads
20800000 valid, 1774233 problematic spliced reads
20900000 valid, 1782703 problematic spliced reads
21000000 valid, 1791352 problematic spliced reads
21100000 valid, 1799963 problematic spliced reads
21200000 valid, 1808621 problematic spliced reads
21300000 valid, 1817148 problematic spliced reads
