Converting /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90013015505/90013015505Aligned.out.bam to /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90013015505/90013015505Aligned.out.bam.junc
100000 valid, 7713 problematic spliced reads
200000 valid, 15777 problematic spliced reads
300000 valid, 23606 problematic spliced reads
400000 valid, 31359 problematic spliced reads
500000 valid, 39224 problematic spliced reads
600000 valid, 47094 problematic spliced reads
700000 valid, 55069 problematic spliced reads
800000 valid, 62820 problematic spliced reads
900000 valid, 70792 problematic spliced reads
1000000 valid, 78766 problematic spliced reads
1100000 valid, 86559 problematic spliced reads
1200000 valid, 94548 problematic spliced reads
1300000 valid, 102481 problematic spliced reads
1400000 valid, 110331 problematic spliced reads
1500000 valid, 118224 problematic spliced reads
1600000 valid, 126084 problematic spliced reads
1700000 valid, 134008 problematic spliced reads
1800000 valid, 142012 problematic spliced reads
1900000 valid, 149918 problematic spliced reads
2000000 valid, 157989 problematic spliced reads
2100000 valid, 165772 problematic spliced reads
2200000 valid, 173811 problematic spliced reads
2300000 valid, 181617 problematic spliced reads
2400000 valid, 189631 problematic spliced reads
2500000 valid, 197477 problematic spliced reads
2600000 valid, 205369 problematic spliced reads
2700000 valid, 213225 problematic spliced reads
2800000 valid, 220878 problematic spliced reads
2900000 valid, 228764 problematic spliced reads
3000000 valid, 236646 problematic spliced reads
3100000 valid, 244644 problematic spliced reads
3200000 valid, 252447 problematic spliced reads
3300000 valid, 260244 problematic spliced reads
3400000 valid, 268067 problematic spliced reads
3500000 valid, 275800 problematic spliced reads
3600000 valid, 283741 problematic spliced reads
3700000 valid, 291746 problematic spliced reads
3800000 valid, 299666 problematic spliced reads
3900000 valid, 307390 problematic spliced reads
4000000 valid, 315350 problematic spliced reads
4100000 valid, 323282 problematic spliced reads
4200000 valid, 331333 problematic spliced reads
4300000 valid, 339244 problematic spliced reads
4400000 valid, 347172 problematic spliced reads
4500000 valid, 355046 problematic spliced reads
4600000 valid, 363032 problematic spliced reads
4700000 valid, 371000 problematic spliced reads
