Converting /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90029015505/90029015505Aligned.out.bam to /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90029015505/90029015505Aligned.out.bam.junc
100000 valid, 8483 problematic spliced reads
200000 valid, 16936 problematic spliced reads
300000 valid, 25207 problematic spliced reads
400000 valid, 33606 problematic spliced reads
500000 valid, 42162 problematic spliced reads
600000 valid, 50690 problematic spliced reads
700000 valid, 59008 problematic spliced reads
800000 valid, 67369 problematic spliced reads
900000 valid, 75996 problematic spliced reads
1000000 valid, 84498 problematic spliced reads
1100000 valid, 93071 problematic spliced reads
1200000 valid, 101677 problematic spliced reads
1300000 valid, 110119 problematic spliced reads
1400000 valid, 118620 problematic spliced reads
1500000 valid, 127015 problematic spliced reads
1600000 valid, 135460 problematic spliced reads
1700000 valid, 143903 problematic spliced reads
1800000 valid, 152359 problematic spliced reads
1900000 valid, 160913 problematic spliced reads
2000000 valid, 169410 problematic spliced reads
2100000 valid, 177769 problematic spliced reads
2200000 valid, 186583 problematic spliced reads
2300000 valid, 194870 problematic spliced reads
2400000 valid, 203510 problematic spliced reads
2500000 valid, 211909 problematic spliced reads
2600000 valid, 220269 problematic spliced reads
2700000 valid, 228625 problematic spliced reads
2800000 valid, 237179 problematic spliced reads
2900000 valid, 245760 problematic spliced reads
3000000 valid, 254215 problematic spliced reads
3100000 valid, 262689 problematic spliced reads
3200000 valid, 270929 problematic spliced reads
3300000 valid, 279312 problematic spliced reads
3400000 valid, 287804 problematic spliced reads
3500000 valid, 296380 problematic spliced reads
3600000 valid, 304821 problematic spliced reads
3700000 valid, 313033 problematic spliced reads
3800000 valid, 321291 problematic spliced reads
3900000 valid, 329646 problematic spliced reads
4000000 valid, 338163 problematic spliced reads
4100000 valid, 346680 problematic spliced reads
4200000 valid, 355236 problematic spliced reads
4300000 valid, 363675 problematic spliced reads
4400000 valid, 371968 problematic spliced reads
4500000 valid, 380356 problematic spliced reads
4600000 valid, 388821 problematic spliced reads
4700000 valid, 397412 problematic spliced reads
4800000 valid, 406120 problematic spliced reads
4900000 valid, 414594 problematic spliced reads
5000000 valid, 423181 problematic spliced reads
5100000 valid, 431622 problematic spliced reads
5200000 valid, 440202 problematic spliced reads
5300000 valid, 448585 problematic spliced reads
5400000 valid, 457088 problematic spliced reads
5500000 valid, 465685 problematic spliced reads
5600000 valid, 473938 problematic spliced reads
5700000 valid, 482483 problematic spliced reads
5800000 valid, 491058 problematic spliced reads
5900000 valid, 499512 problematic spliced reads
6000000 valid, 507965 problematic spliced reads
6100000 valid, 516386 problematic spliced reads
6200000 valid, 524933 problematic spliced reads
6300000 valid, 533443 problematic spliced reads
6400000 valid, 541861 problematic spliced reads
6500000 valid, 550303 problematic spliced reads
6600000 valid, 558699 problematic spliced reads
6700000 valid, 567008 problematic spliced reads
6800000 valid, 575389 problematic spliced reads
6900000 valid, 583857 problematic spliced reads
7000000 valid, 592353 problematic spliced reads
7100000 valid, 600846 problematic spliced reads
7200000 valid, 609223 problematic spliced reads
7300000 valid, 617746 problematic spliced reads
7400000 valid, 626338 problematic spliced reads
7500000 valid, 634819 problematic spliced reads
7600000 valid, 643312 problematic spliced reads
7700000 valid, 651817 problematic spliced reads
7800000 valid, 660263 problematic spliced reads
7900000 valid, 668706 problematic spliced reads
8000000 valid, 677150 problematic spliced reads
8100000 valid, 685498 problematic spliced reads
8200000 valid, 694042 problematic spliced reads
8300000 valid, 702520 problematic spliced reads
8400000 valid, 710892 problematic spliced reads
8500000 valid, 719425 problematic spliced reads
8600000 valid, 727979 problematic spliced reads
8700000 valid, 736442 problematic spliced reads
8800000 valid, 744907 problematic spliced reads
8900000 valid, 753315 problematic spliced reads
9000000 valid, 761711 problematic spliced reads
9100000 valid, 770291 problematic spliced reads
9200000 valid, 778901 problematic spliced reads
9300000 valid, 787186 problematic spliced reads
9400000 valid, 795648 problematic spliced reads
9500000 valid, 804115 problematic spliced reads
9600000 valid, 812592 problematic spliced reads
9700000 valid, 821223 problematic spliced reads
9800000 valid, 829742 problematic spliced reads
9900000 valid, 838147 problematic spliced reads
10000000 valid, 846679 problematic spliced reads
10100000 valid, 855212 problematic spliced reads
10200000 valid, 863821 problematic spliced reads
10300000 valid, 872226 problematic spliced reads
10400000 valid, 880693 problematic spliced reads
10500000 valid, 889097 problematic spliced reads
10600000 valid, 897701 problematic spliced reads
10700000 valid, 906229 problematic spliced reads
10800000 valid, 914636 problematic spliced reads
10900000 valid, 922970 problematic spliced reads
11000000 valid, 931495 problematic spliced reads
11100000 valid, 939844 problematic spliced reads
11200000 valid, 948261 problematic spliced reads
11300000 valid, 956763 problematic spliced reads
11400000 valid, 965266 problematic spliced reads
11500000 valid, 974059 problematic spliced reads
11600000 valid, 982646 problematic spliced reads
11700000 valid, 991292 problematic spliced reads
11800000 valid, 999971 problematic spliced reads
11900000 valid, 1008501 problematic spliced reads
12000000 valid, 1016877 problematic spliced reads
12100000 valid, 1025435 problematic spliced reads
12200000 valid, 1034064 problematic spliced reads
12300000 valid, 1042770 problematic spliced reads
12400000 valid, 1051480 problematic spliced reads
12500000 valid, 1060131 problematic spliced reads
12600000 valid, 1068657 problematic spliced reads
12700000 valid, 1077106 problematic spliced reads
12800000 valid, 1085601 problematic spliced reads
12900000 valid, 1094233 problematic spliced reads
13000000 valid, 1102744 problematic spliced reads
13100000 valid, 1111302 problematic spliced reads
13200000 valid, 1119973 problematic spliced reads
13300000 valid, 1128544 problematic spliced reads
13400000 valid, 1137229 problematic spliced reads
13500000 valid, 1145842 problematic spliced reads
13600000 valid, 1154453 problematic spliced reads
13700000 valid, 1162880 problematic spliced reads
13800000 valid, 1171419 problematic spliced reads
13900000 valid, 1179961 problematic spliced reads
14000000 valid, 1188660 problematic spliced reads
14100000 valid, 1197300 problematic spliced reads
14200000 valid, 1205783 problematic spliced reads
14300000 valid, 1214329 problematic spliced reads
14400000 valid, 1223000 problematic spliced reads
14500000 valid, 1231638 problematic spliced reads
14600000 valid, 1240052 problematic spliced reads
14700000 valid, 1248555 problematic spliced reads
14800000 valid, 1257191 problematic spliced reads
14900000 valid, 1265630 problematic spliced reads
15000000 valid, 1274086 problematic spliced reads
15100000 valid, 1282630 problematic spliced reads
15200000 valid, 1291330 problematic spliced reads
15300000 valid, 1299979 problematic spliced reads
15400000 valid, 1308587 problematic spliced reads
15500000 valid, 1317360 problematic spliced reads
15600000 valid, 1326057 problematic spliced reads
15700000 valid, 1334542 problematic spliced reads
15800000 valid, 1343056 problematic spliced reads
15900000 valid, 1351666 problematic spliced reads
16000000 valid, 1360149 problematic spliced reads
16100000 valid, 1368620 problematic spliced reads
16200000 valid, 1377149 problematic spliced reads
16300000 valid, 1385645 problematic spliced reads
16400000 valid, 1394318 problematic spliced reads
16500000 valid, 1402774 problematic spliced reads
16600000 valid, 1411191 problematic spliced reads
16700000 valid, 1419456 problematic spliced reads
16800000 valid, 1427998 problematic spliced reads
16900000 valid, 1436444 problematic spliced reads
17000000 valid, 1444904 problematic spliced reads
17100000 valid, 1453474 problematic spliced reads
17200000 valid, 1461975 problematic spliced reads
17300000 valid, 1470591 problematic spliced reads
17400000 valid, 1479132 problematic spliced reads
17500000 valid, 1487670 problematic spliced reads
17600000 valid, 1496363 problematic spliced reads
17700000 valid, 1504995 problematic spliced reads
17800000 valid, 1513521 problematic spliced reads
17900000 valid, 1521970 problematic spliced reads
18000000 valid, 1530300 problematic spliced reads
18100000 valid, 1538630 problematic spliced reads
18200000 valid, 1547192 problematic spliced reads
18300000 valid, 1555797 problematic spliced reads
18400000 valid, 1564356 problematic spliced reads
18500000 valid, 1572743 problematic spliced reads
18600000 valid, 1581191 problematic spliced reads
18700000 valid, 1589766 problematic spliced reads
18800000 valid, 1598355 problematic spliced reads
18900000 valid, 1606833 problematic spliced reads
19000000 valid, 1615547 problematic spliced reads
19100000 valid, 1624143 problematic spliced reads
19200000 valid, 1632715 problematic spliced reads
19300000 valid, 1641431 problematic spliced reads
19400000 valid, 1650206 problematic spliced reads
19500000 valid, 1658795 problematic spliced reads
19600000 valid, 1667554 problematic spliced reads
19700000 valid, 1675899 problematic spliced reads
19800000 valid, 1684387 problematic spliced reads
19900000 valid, 1692911 problematic spliced reads
20000000 valid, 1701471 problematic spliced reads
20100000 valid, 1709780 problematic spliced reads
20200000 valid, 1718416 problematic spliced reads
20300000 valid, 1727014 problematic spliced reads
20400000 valid, 1735542 problematic spliced reads
20500000 valid, 1743859 problematic spliced reads
20600000 valid, 1752372 problematic spliced reads
20700000 valid, 1760869 problematic spliced reads
20800000 valid, 1769551 problematic spliced reads
20900000 valid, 1778109 problematic spliced reads
21000000 valid, 1786619 problematic spliced reads
21100000 valid, 1795189 problematic spliced reads
21200000 valid, 1803735 problematic spliced reads
21300000 valid, 1812375 problematic spliced reads
21400000 valid, 1821104 problematic spliced reads
21500000 valid, 1829808 problematic spliced reads
21600000 valid, 1838427 problematic spliced reads
21700000 valid, 1847001 problematic spliced reads
21800000 valid, 1855714 problematic spliced reads
21900000 valid, 1864144 problematic spliced reads
22000000 valid, 1872615 problematic spliced reads
22100000 valid, 1881120 problematic spliced reads
22200000 valid, 1889687 problematic spliced reads
22300000 valid, 1898318 problematic spliced reads
22400000 valid, 1906919 problematic spliced reads
