Converting /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90118015505/90118015505Aligned.out.bam to /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90118015505/90118015505Aligned.out.bam.junc
100000 valid, 8732 problematic spliced reads
200000 valid, 17453 problematic spliced reads
300000 valid, 26464 problematic spliced reads
400000 valid, 35218 problematic spliced reads
500000 valid, 44053 problematic spliced reads
600000 valid, 52913 problematic spliced reads
700000 valid, 61747 problematic spliced reads
800000 valid, 70587 problematic spliced reads
900000 valid, 79507 problematic spliced reads
1000000 valid, 88174 problematic spliced reads
1100000 valid, 96884 problematic spliced reads
1200000 valid, 105533 problematic spliced reads
1300000 valid, 114291 problematic spliced reads
1400000 valid, 123236 problematic spliced reads
1500000 valid, 132186 problematic spliced reads
1600000 valid, 141279 problematic spliced reads
1700000 valid, 150198 problematic spliced reads
1800000 valid, 159120 problematic spliced reads
1900000 valid, 167818 problematic spliced reads
2000000 valid, 176796 problematic spliced reads
2100000 valid, 185765 problematic spliced reads
2200000 valid, 194573 problematic spliced reads
2300000 valid, 203470 problematic spliced reads
2400000 valid, 212489 problematic spliced reads
2500000 valid, 221341 problematic spliced reads
2600000 valid, 230304 problematic spliced reads
2700000 valid, 239180 problematic spliced reads
2800000 valid, 247960 problematic spliced reads
2900000 valid, 256623 problematic spliced reads
3000000 valid, 265379 problematic spliced reads
3100000 valid, 274120 problematic spliced reads
3200000 valid, 282980 problematic spliced reads
3300000 valid, 291950 problematic spliced reads
3400000 valid, 300844 problematic spliced reads
3500000 valid, 309829 problematic spliced reads
3600000 valid, 318691 problematic spliced reads
3700000 valid, 327608 problematic spliced reads
3800000 valid, 336478 problematic spliced reads
3900000 valid, 345290 problematic spliced reads
4000000 valid, 354279 problematic spliced reads
4100000 valid, 363113 problematic spliced reads
4200000 valid, 371805 problematic spliced reads
4300000 valid, 380744 problematic spliced reads
4400000 valid, 389643 problematic spliced reads
4500000 valid, 398273 problematic spliced reads
4600000 valid, 407135 problematic spliced reads
4700000 valid, 415964 problematic spliced reads
4800000 valid, 424821 problematic spliced reads
4900000 valid, 433814 problematic spliced reads
5000000 valid, 442646 problematic spliced reads
5100000 valid, 451421 problematic spliced reads
5200000 valid, 460253 problematic spliced reads
5300000 valid, 469292 problematic spliced reads
5400000 valid, 478183 problematic spliced reads
5500000 valid, 486985 problematic spliced reads
5600000 valid, 495688 problematic spliced reads
5700000 valid, 504658 problematic spliced reads
5800000 valid, 513510 problematic spliced reads
5900000 valid, 522215 problematic spliced reads
6000000 valid, 531120 problematic spliced reads
6100000 valid, 539952 problematic spliced reads
6200000 valid, 548790 problematic spliced reads
6300000 valid, 557725 problematic spliced reads
6400000 valid, 566668 problematic spliced reads
6500000 valid, 575566 problematic spliced reads
6600000 valid, 584519 problematic spliced reads
6700000 valid, 593380 problematic spliced reads
6800000 valid, 602250 problematic spliced reads
6900000 valid, 611061 problematic spliced reads
7000000 valid, 619746 problematic spliced reads
7100000 valid, 628530 problematic spliced reads
7200000 valid, 637148 problematic spliced reads
7300000 valid, 645888 problematic spliced reads
7400000 valid, 654708 problematic spliced reads
7500000 valid, 663621 problematic spliced reads
7600000 valid, 672395 problematic spliced reads
7700000 valid, 681183 problematic spliced reads
7800000 valid, 690254 problematic spliced reads
7900000 valid, 698970 problematic spliced reads
8000000 valid, 708073 problematic spliced reads
8100000 valid, 716940 problematic spliced reads
8200000 valid, 725695 problematic spliced reads
8300000 valid, 734657 problematic spliced reads
8400000 valid, 743532 problematic spliced reads
8500000 valid, 752227 problematic spliced reads
8600000 valid, 760971 problematic spliced reads
8700000 valid, 769834 problematic spliced reads
8800000 valid, 778681 problematic spliced reads
8900000 valid, 787482 problematic spliced reads
9000000 valid, 796327 problematic spliced reads
9100000 valid, 805036 problematic spliced reads
9200000 valid, 813894 problematic spliced reads
9300000 valid, 822661 problematic spliced reads
9400000 valid, 831468 problematic spliced reads
9500000 valid, 840274 problematic spliced reads
9600000 valid, 849104 problematic spliced reads
9700000 valid, 857893 problematic spliced reads
9800000 valid, 866890 problematic spliced reads
9900000 valid, 875795 problematic spliced reads
10000000 valid, 884285 problematic spliced reads
10100000 valid, 893252 problematic spliced reads
10200000 valid, 902212 problematic spliced reads
10300000 valid, 911114 problematic spliced reads
10400000 valid, 920039 problematic spliced reads
10500000 valid, 928886 problematic spliced reads
10600000 valid, 937819 problematic spliced reads
10700000 valid, 946749 problematic spliced reads
10800000 valid, 955600 problematic spliced reads
10900000 valid, 964667 problematic spliced reads
11000000 valid, 973548 problematic spliced reads
11100000 valid, 982299 problematic spliced reads
11200000 valid, 991087 problematic spliced reads
11300000 valid, 999898 problematic spliced reads
11400000 valid, 1008743 problematic spliced reads
11500000 valid, 1017604 problematic spliced reads
11600000 valid, 1026539 problematic spliced reads
11700000 valid, 1035237 problematic spliced reads
11800000 valid, 1043963 problematic spliced reads
11900000 valid, 1052871 problematic spliced reads
12000000 valid, 1061704 problematic spliced reads
12100000 valid, 1070471 problematic spliced reads
12200000 valid, 1079170 problematic spliced reads
12300000 valid, 1087941 problematic spliced reads
12400000 valid, 1096720 problematic spliced reads
12500000 valid, 1105552 problematic spliced reads
12600000 valid, 1114452 problematic spliced reads
12700000 valid, 1123189 problematic spliced reads
12800000 valid, 1132055 problematic spliced reads
12900000 valid, 1140806 problematic spliced reads
13000000 valid, 1149668 problematic spliced reads
13100000 valid, 1158661 problematic spliced reads
13200000 valid, 1167488 problematic spliced reads
13300000 valid, 1176441 problematic spliced reads
13400000 valid, 1185092 problematic spliced reads
13500000 valid, 1193776 problematic spliced reads
13600000 valid, 1202504 problematic spliced reads
13700000 valid, 1211367 problematic spliced reads
13800000 valid, 1220086 problematic spliced reads
13900000 valid, 1228914 problematic spliced reads
14000000 valid, 1237909 problematic spliced reads
14100000 valid, 1246681 problematic spliced reads
14200000 valid, 1255477 problematic spliced reads
14300000 valid, 1264475 problematic spliced reads
14400000 valid, 1273227 problematic spliced reads
14500000 valid, 1282143 problematic spliced reads
14600000 valid, 1291065 problematic spliced reads
14700000 valid, 1299940 problematic spliced reads
14800000 valid, 1308732 problematic spliced reads
14900000 valid, 1317536 problematic spliced reads
15000000 valid, 1326413 problematic spliced reads
15100000 valid, 1335193 problematic spliced reads
15200000 valid, 1344271 problematic spliced reads
15300000 valid, 1353146 problematic spliced reads
15400000 valid, 1361994 problematic spliced reads
15500000 valid, 1370961 problematic spliced reads
15600000 valid, 1379794 problematic spliced reads
15700000 valid, 1388676 problematic spliced reads
15800000 valid, 1397192 problematic spliced reads
15900000 valid, 1406099 problematic spliced reads
16000000 valid, 1414885 problematic spliced reads
16100000 valid, 1423749 problematic spliced reads
16200000 valid, 1432794 problematic spliced reads
16300000 valid, 1441711 problematic spliced reads
16400000 valid, 1450704 problematic spliced reads
16500000 valid, 1459376 problematic spliced reads
16600000 valid, 1468212 problematic spliced reads
16700000 valid, 1477081 problematic spliced reads
16800000 valid, 1485977 problematic spliced reads
16900000 valid, 1494709 problematic spliced reads
17000000 valid, 1503643 problematic spliced reads
17100000 valid, 1512308 problematic spliced reads
