Converting /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90031015505/90031015505Aligned.out.bam to /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90031015505/90031015505Aligned.out.bam.junc
100000 valid, 9027 problematic spliced reads
200000 valid, 18021 problematic spliced reads
300000 valid, 27014 problematic spliced reads
400000 valid, 36257 problematic spliced reads
500000 valid, 45328 problematic spliced reads
600000 valid, 54495 problematic spliced reads
700000 valid, 63504 problematic spliced reads
800000 valid, 72673 problematic spliced reads
900000 valid, 81768 problematic spliced reads
1000000 valid, 90930 problematic spliced reads
1100000 valid, 100225 problematic spliced reads
1200000 valid, 109368 problematic spliced reads
1300000 valid, 118452 problematic spliced reads
1400000 valid, 127467 problematic spliced reads
1500000 valid, 136644 problematic spliced reads
1600000 valid, 145789 problematic spliced reads
1700000 valid, 154736 problematic spliced reads
1800000 valid, 163808 problematic spliced reads
1900000 valid, 172914 problematic spliced reads
2000000 valid, 181960 problematic spliced reads
2100000 valid, 191049 problematic spliced reads
2200000 valid, 200074 problematic spliced reads
2300000 valid, 209324 problematic spliced reads
2400000 valid, 218516 problematic spliced reads
2500000 valid, 227750 problematic spliced reads
2600000 valid, 236994 problematic spliced reads
2700000 valid, 246327 problematic spliced reads
2800000 valid, 255549 problematic spliced reads
2900000 valid, 264707 problematic spliced reads
3000000 valid, 273868 problematic spliced reads
3100000 valid, 283161 problematic spliced reads
3200000 valid, 292193 problematic spliced reads
3300000 valid, 301318 problematic spliced reads
3400000 valid, 310583 problematic spliced reads
3500000 valid, 319709 problematic spliced reads
3600000 valid, 328732 problematic spliced reads
3700000 valid, 337970 problematic spliced reads
3800000 valid, 347039 problematic spliced reads
3900000 valid, 356182 problematic spliced reads
4000000 valid, 365408 problematic spliced reads
4100000 valid, 374577 problematic spliced reads
4200000 valid, 383768 problematic spliced reads
4300000 valid, 392790 problematic spliced reads
4400000 valid, 401859 problematic spliced reads
4500000 valid, 411134 problematic spliced reads
4600000 valid, 420230 problematic spliced reads
4700000 valid, 429230 problematic spliced reads
4800000 valid, 438501 problematic spliced reads
4900000 valid, 447658 problematic spliced reads
5000000 valid, 456967 problematic spliced reads
5100000 valid, 466081 problematic spliced reads
5200000 valid, 475121 problematic spliced reads
5300000 valid, 484263 problematic spliced reads
5400000 valid, 493266 problematic spliced reads
5500000 valid, 502524 problematic spliced reads
5600000 valid, 511664 problematic spliced reads
5700000 valid, 520772 problematic spliced reads
5800000 valid, 530059 problematic spliced reads
5900000 valid, 539302 problematic spliced reads
6000000 valid, 548377 problematic spliced reads
6100000 valid, 557188 problematic spliced reads
6200000 valid, 566218 problematic spliced reads
6300000 valid, 575343 problematic spliced reads
6400000 valid, 584536 problematic spliced reads
6500000 valid, 593585 problematic spliced reads
6600000 valid, 602741 problematic spliced reads
6700000 valid, 611747 problematic spliced reads
6800000 valid, 620826 problematic spliced reads
6900000 valid, 629837 problematic spliced reads
7000000 valid, 638989 problematic spliced reads
7100000 valid, 647982 problematic spliced reads
7200000 valid, 657295 problematic spliced reads
7300000 valid, 666247 problematic spliced reads
7400000 valid, 675506 problematic spliced reads
7500000 valid, 684752 problematic spliced reads
7600000 valid, 693666 problematic spliced reads
7700000 valid, 702975 problematic spliced reads
7800000 valid, 712064 problematic spliced reads
7900000 valid, 721345 problematic spliced reads
8000000 valid, 730501 problematic spliced reads
8100000 valid, 739825 problematic spliced reads
8200000 valid, 748881 problematic spliced reads
8300000 valid, 758328 problematic spliced reads
8400000 valid, 767543 problematic spliced reads
8500000 valid, 776579 problematic spliced reads
8600000 valid, 785665 problematic spliced reads
8700000 valid, 794920 problematic spliced reads
8800000 valid, 804149 problematic spliced reads
8900000 valid, 813231 problematic spliced reads
9000000 valid, 822407 problematic spliced reads
9100000 valid, 831640 problematic spliced reads
9200000 valid, 840808 problematic spliced reads
9300000 valid, 849772 problematic spliced reads
9400000 valid, 858887 problematic spliced reads
9500000 valid, 868187 problematic spliced reads
9600000 valid, 877374 problematic spliced reads
9700000 valid, 886453 problematic spliced reads
9800000 valid, 895541 problematic spliced reads
9900000 valid, 904823 problematic spliced reads
10000000 valid, 913999 problematic spliced reads
10100000 valid, 923190 problematic spliced reads
10200000 valid, 932087 problematic spliced reads
10300000 valid, 941249 problematic spliced reads
10400000 valid, 950576 problematic spliced reads
10500000 valid, 959744 problematic spliced reads
10600000 valid, 968820 problematic spliced reads
10700000 valid, 978052 problematic spliced reads
10800000 valid, 987226 problematic spliced reads
10900000 valid, 996315 problematic spliced reads
11000000 valid, 1005563 problematic spliced reads
11100000 valid, 1014696 problematic spliced reads
11200000 valid, 1023651 problematic spliced reads
11300000 valid, 1032636 problematic spliced reads
11400000 valid, 1041906 problematic spliced reads
11500000 valid, 1050975 problematic spliced reads
11600000 valid, 1060113 problematic spliced reads
11700000 valid, 1069444 problematic spliced reads
11800000 valid, 1078429 problematic spliced reads
11900000 valid, 1087348 problematic spliced reads
12000000 valid, 1096459 problematic spliced reads
12100000 valid, 1105410 problematic spliced reads
12200000 valid, 1114507 problematic spliced reads
12300000 valid, 1123434 problematic spliced reads
12400000 valid, 1132608 problematic spliced reads
12500000 valid, 1141467 problematic spliced reads
12600000 valid, 1150855 problematic spliced reads
12700000 valid, 1160099 problematic spliced reads
12800000 valid, 1169169 problematic spliced reads
12900000 valid, 1178369 problematic spliced reads
13000000 valid, 1187438 problematic spliced reads
13100000 valid, 1196400 problematic spliced reads
13200000 valid, 1205427 problematic spliced reads
13300000 valid, 1214611 problematic spliced reads
13400000 valid, 1223745 problematic spliced reads
13500000 valid, 1232968 problematic spliced reads
13600000 valid, 1241981 problematic spliced reads
13700000 valid, 1251316 problematic spliced reads
13800000 valid, 1260369 problematic spliced reads
13900000 valid, 1269417 problematic spliced reads
14000000 valid, 1278396 problematic spliced reads
14100000 valid, 1287501 problematic spliced reads
14200000 valid, 1296573 problematic spliced reads
14300000 valid, 1305848 problematic spliced reads
14400000 valid, 1314801 problematic spliced reads
14500000 valid, 1324004 problematic spliced reads
14600000 valid, 1332931 problematic spliced reads
14700000 valid, 1342173 problematic spliced reads
14800000 valid, 1351321 problematic spliced reads
14900000 valid, 1360418 problematic spliced reads
15000000 valid, 1369290 problematic spliced reads
15100000 valid, 1378280 problematic spliced reads
15200000 valid, 1387363 problematic spliced reads
15300000 valid, 1396361 problematic spliced reads
15400000 valid, 1405526 problematic spliced reads
15500000 valid, 1414595 problematic spliced reads
15600000 valid, 1423942 problematic spliced reads
15700000 valid, 1433107 problematic spliced reads
15800000 valid, 1442222 problematic spliced reads
15900000 valid, 1451347 problematic spliced reads
16000000 valid, 1460437 problematic spliced reads
16100000 valid, 1469639 problematic spliced reads
16200000 valid, 1478643 problematic spliced reads
16300000 valid, 1487611 problematic spliced reads
16400000 valid, 1496687 problematic spliced reads
16500000 valid, 1505841 problematic spliced reads
16600000 valid, 1515015 problematic spliced reads
16700000 valid, 1523946 problematic spliced reads
16800000 valid, 1533014 problematic spliced reads
16900000 valid, 1542166 problematic spliced reads
17000000 valid, 1551231 problematic spliced reads
17100000 valid, 1560277 problematic spliced reads
17200000 valid, 1569359 problematic spliced reads
17300000 valid, 1578607 problematic spliced reads
17400000 valid, 1587865 problematic spliced reads
17500000 valid, 1596989 problematic spliced reads
17600000 valid, 1606039 problematic spliced reads
17700000 valid, 1615230 problematic spliced reads
17800000 valid, 1624395 problematic spliced reads
17900000 valid, 1633297 problematic spliced reads
18000000 valid, 1642262 problematic spliced reads
18100000 valid, 1651446 problematic spliced reads
18200000 valid, 1660447 problematic spliced reads
18300000 valid, 1669692 problematic spliced reads
18400000 valid, 1678741 problematic spliced reads
