Converting /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90017015505/90017015505Aligned.out.bam to /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90017015505/90017015505Aligned.out.bam.junc
100000 valid, 8172 problematic spliced reads
200000 valid, 16408 problematic spliced reads
300000 valid, 24642 problematic spliced reads
400000 valid, 32893 problematic spliced reads
500000 valid, 41250 problematic spliced reads
600000 valid, 49578 problematic spliced reads
700000 valid, 57863 problematic spliced reads
800000 valid, 66162 problematic spliced reads
900000 valid, 74539 problematic spliced reads
1000000 valid, 82643 problematic spliced reads
1100000 valid, 90827 problematic spliced reads
1200000 valid, 99013 problematic spliced reads
1300000 valid, 107181 problematic spliced reads
1400000 valid, 115419 problematic spliced reads
1500000 valid, 123799 problematic spliced reads
1600000 valid, 131942 problematic spliced reads
1700000 valid, 140190 problematic spliced reads
1800000 valid, 148508 problematic spliced reads
1900000 valid, 156781 problematic spliced reads
2000000 valid, 165007 problematic spliced reads
2100000 valid, 173362 problematic spliced reads
2200000 valid, 181601 problematic spliced reads
2300000 valid, 189918 problematic spliced reads
2400000 valid, 198181 problematic spliced reads
2500000 valid, 206476 problematic spliced reads
2600000 valid, 214651 problematic spliced reads
2700000 valid, 222787 problematic spliced reads
2800000 valid, 230925 problematic spliced reads
2900000 valid, 239110 problematic spliced reads
3000000 valid, 247344 problematic spliced reads
3100000 valid, 255449 problematic spliced reads
3200000 valid, 263669 problematic spliced reads
3300000 valid, 272032 problematic spliced reads
3400000 valid, 280412 problematic spliced reads
3500000 valid, 288800 problematic spliced reads
3600000 valid, 297030 problematic spliced reads
3700000 valid, 305243 problematic spliced reads
3800000 valid, 313417 problematic spliced reads
3900000 valid, 321571 problematic spliced reads
4000000 valid, 329810 problematic spliced reads
4100000 valid, 337901 problematic spliced reads
4200000 valid, 346199 problematic spliced reads
4300000 valid, 354433 problematic spliced reads
4400000 valid, 362791 problematic spliced reads
4500000 valid, 370938 problematic spliced reads
4600000 valid, 379390 problematic spliced reads
4700000 valid, 387709 problematic spliced reads
4800000 valid, 395788 problematic spliced reads
4900000 valid, 403916 problematic spliced reads
5000000 valid, 412214 problematic spliced reads
5100000 valid, 420549 problematic spliced reads
5200000 valid, 428891 problematic spliced reads
5300000 valid, 437227 problematic spliced reads
5400000 valid, 445341 problematic spliced reads
5500000 valid, 453650 problematic spliced reads
5600000 valid, 461784 problematic spliced reads
5700000 valid, 469864 problematic spliced reads
5800000 valid, 478220 problematic spliced reads
5900000 valid, 486465 problematic spliced reads
6000000 valid, 494658 problematic spliced reads
6100000 valid, 502899 problematic spliced reads
6200000 valid, 511355 problematic spliced reads
6300000 valid, 519422 problematic spliced reads
6400000 valid, 527687 problematic spliced reads
6500000 valid, 536028 problematic spliced reads
6600000 valid, 544326 problematic spliced reads
6700000 valid, 552412 problematic spliced reads
6800000 valid, 560617 problematic spliced reads
6900000 valid, 568985 problematic spliced reads
7000000 valid, 577096 problematic spliced reads
7100000 valid, 585399 problematic spliced reads
7200000 valid, 593764 problematic spliced reads
7300000 valid, 601955 problematic spliced reads
7400000 valid, 610333 problematic spliced reads
7500000 valid, 618621 problematic spliced reads
7600000 valid, 626956 problematic spliced reads
7700000 valid, 635200 problematic spliced reads
7800000 valid, 643236 problematic spliced reads
7900000 valid, 651467 problematic spliced reads
8000000 valid, 659757 problematic spliced reads
8100000 valid, 668020 problematic spliced reads
8200000 valid, 676191 problematic spliced reads
8300000 valid, 684564 problematic spliced reads
8400000 valid, 692702 problematic spliced reads
8500000 valid, 700681 problematic spliced reads
8600000 valid, 708831 problematic spliced reads
8700000 valid, 717111 problematic spliced reads
8800000 valid, 725398 problematic spliced reads
8900000 valid, 733625 problematic spliced reads
9000000 valid, 741879 problematic spliced reads
9100000 valid, 749973 problematic spliced reads
9200000 valid, 758178 problematic spliced reads
9300000 valid, 766538 problematic spliced reads
9400000 valid, 774848 problematic spliced reads
9500000 valid, 783158 problematic spliced reads
9600000 valid, 791476 problematic spliced reads
9700000 valid, 799775 problematic spliced reads
9800000 valid, 808052 problematic spliced reads
9900000 valid, 816368 problematic spliced reads
10000000 valid, 824418 problematic spliced reads
10100000 valid, 832531 problematic spliced reads
10200000 valid, 840759 problematic spliced reads
10300000 valid, 849181 problematic spliced reads
10400000 valid, 857297 problematic spliced reads
10500000 valid, 865465 problematic spliced reads
10600000 valid, 873848 problematic spliced reads
10700000 valid, 882056 problematic spliced reads
10800000 valid, 890294 problematic spliced reads
10900000 valid, 898533 problematic spliced reads
11000000 valid, 906859 problematic spliced reads
