Converting /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90147015505/90147015505Aligned.out.bam to /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90147015505/90147015505Aligned.out.bam.junc
100000 valid, 10184 problematic spliced reads
200000 valid, 20401 problematic spliced reads
300000 valid, 30754 problematic spliced reads
400000 valid, 41096 problematic spliced reads
500000 valid, 51239 problematic spliced reads
600000 valid, 61403 problematic spliced reads
700000 valid, 71303 problematic spliced reads
800000 valid, 81482 problematic spliced reads
900000 valid, 91633 problematic spliced reads
1000000 valid, 101719 problematic spliced reads
1100000 valid, 111967 problematic spliced reads
1200000 valid, 122118 problematic spliced reads
1300000 valid, 132251 problematic spliced reads
1400000 valid, 142468 problematic spliced reads
1500000 valid, 152466 problematic spliced reads
1600000 valid, 162684 problematic spliced reads
1700000 valid, 172857 problematic spliced reads
1800000 valid, 182749 problematic spliced reads
1900000 valid, 192730 problematic spliced reads
2000000 valid, 202695 problematic spliced reads
2100000 valid, 213051 problematic spliced reads
2200000 valid, 223207 problematic spliced reads
2300000 valid, 233447 problematic spliced reads
2400000 valid, 243457 problematic spliced reads
2500000 valid, 253576 problematic spliced reads
2600000 valid, 263679 problematic spliced reads
2700000 valid, 273980 problematic spliced reads
2800000 valid, 284008 problematic spliced reads
2900000 valid, 294091 problematic spliced reads
3000000 valid, 304197 problematic spliced reads
3100000 valid, 314570 problematic spliced reads
3200000 valid, 324691 problematic spliced reads
3300000 valid, 334890 problematic spliced reads
3400000 valid, 345204 problematic spliced reads
3500000 valid, 355179 problematic spliced reads
3600000 valid, 365182 problematic spliced reads
3700000 valid, 375373 problematic spliced reads
3800000 valid, 385634 problematic spliced reads
3900000 valid, 395946 problematic spliced reads
4000000 valid, 406160 problematic spliced reads
4100000 valid, 416130 problematic spliced reads
4200000 valid, 426061 problematic spliced reads
4300000 valid, 436239 problematic spliced reads
4400000 valid, 446381 problematic spliced reads
4500000 valid, 456877 problematic spliced reads
4600000 valid, 467108 problematic spliced reads
4700000 valid, 477085 problematic spliced reads
4800000 valid, 487284 problematic spliced reads
4900000 valid, 497371 problematic spliced reads
5000000 valid, 507557 problematic spliced reads
5100000 valid, 517639 problematic spliced reads
5200000 valid, 527749 problematic spliced reads
5300000 valid, 537704 problematic spliced reads
5400000 valid, 547715 problematic spliced reads
5500000 valid, 557550 problematic spliced reads
5600000 valid, 567698 problematic spliced reads
5700000 valid, 577910 problematic spliced reads
5800000 valid, 587932 problematic spliced reads
5900000 valid, 597961 problematic spliced reads
6000000 valid, 608334 problematic spliced reads
6100000 valid, 618553 problematic spliced reads
6200000 valid, 628838 problematic spliced reads
6300000 valid, 639032 problematic spliced reads
6400000 valid, 649180 problematic spliced reads
6500000 valid, 659192 problematic spliced reads
6600000 valid, 669414 problematic spliced reads
6700000 valid, 679694 problematic spliced reads
6800000 valid, 689710 problematic spliced reads
6900000 valid, 699807 problematic spliced reads
7000000 valid, 710034 problematic spliced reads
7100000 valid, 719961 problematic spliced reads
7200000 valid, 729984 problematic spliced reads
7300000 valid, 740078 problematic spliced reads
7400000 valid, 750120 problematic spliced reads
7500000 valid, 760310 problematic spliced reads
7600000 valid, 770449 problematic spliced reads
7700000 valid, 780409 problematic spliced reads
7800000 valid, 790678 problematic spliced reads
7900000 valid, 800616 problematic spliced reads
8000000 valid, 810571 problematic spliced reads
8100000 valid, 820951 problematic spliced reads
8200000 valid, 831259 problematic spliced reads
8300000 valid, 841431 problematic spliced reads
8400000 valid, 851677 problematic spliced reads
8500000 valid, 861884 problematic spliced reads
8600000 valid, 872166 problematic spliced reads
8700000 valid, 882315 problematic spliced reads
8800000 valid, 892298 problematic spliced reads
8900000 valid, 902363 problematic spliced reads
9000000 valid, 912410 problematic spliced reads
9100000 valid, 922517 problematic spliced reads
9200000 valid, 932547 problematic spliced reads
9300000 valid, 942332 problematic spliced reads
9400000 valid, 952133 problematic spliced reads
9500000 valid, 962474 problematic spliced reads
9600000 valid, 972787 problematic spliced reads
9700000 valid, 982887 problematic spliced reads
9800000 valid, 993373 problematic spliced reads
9900000 valid, 1003483 problematic spliced reads
10000000 valid, 1013500 problematic spliced reads
10100000 valid, 1023471 problematic spliced reads
10200000 valid, 1033629 problematic spliced reads
10300000 valid, 1043605 problematic spliced reads
10400000 valid, 1053761 problematic spliced reads
10500000 valid, 1063859 problematic spliced reads
10600000 valid, 1073892 problematic spliced reads
10700000 valid, 1083896 problematic spliced reads
10800000 valid, 1093909 problematic spliced reads
10900000 valid, 1104218 problematic spliced reads
11000000 valid, 1114344 problematic spliced reads
11100000 valid, 1124405 problematic spliced reads
11200000 valid, 1134463 problematic spliced reads
11300000 valid, 1144359 problematic spliced reads
11400000 valid, 1154388 problematic spliced reads
11500000 valid, 1164230 problematic spliced reads
11600000 valid, 1173888 problematic spliced reads
11700000 valid, 1183818 problematic spliced reads
11800000 valid, 1193913 problematic spliced reads
