Converting /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90025015505/90025015505Aligned.out.bam to /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90025015505/90025015505Aligned.out.bam.junc
100000 valid, 7877 problematic spliced reads
200000 valid, 15899 problematic spliced reads
300000 valid, 23771 problematic spliced reads
400000 valid, 31676 problematic spliced reads
500000 valid, 39491 problematic spliced reads
600000 valid, 47515 problematic spliced reads
700000 valid, 55370 problematic spliced reads
800000 valid, 63290 problematic spliced reads
900000 valid, 71092 problematic spliced reads
1000000 valid, 78918 problematic spliced reads
1100000 valid, 86662 problematic spliced reads
1200000 valid, 94681 problematic spliced reads
1300000 valid, 102578 problematic spliced reads
1400000 valid, 110295 problematic spliced reads
1500000 valid, 118145 problematic spliced reads
1600000 valid, 125966 problematic spliced reads
1700000 valid, 133828 problematic spliced reads
1800000 valid, 141720 problematic spliced reads
1900000 valid, 149581 problematic spliced reads
2000000 valid, 157523 problematic spliced reads
2100000 valid, 165562 problematic spliced reads
2200000 valid, 173527 problematic spliced reads
2300000 valid, 181343 problematic spliced reads
2400000 valid, 189157 problematic spliced reads
2500000 valid, 197021 problematic spliced reads
2600000 valid, 204926 problematic spliced reads
2700000 valid, 212886 problematic spliced reads
2800000 valid, 220798 problematic spliced reads
2900000 valid, 228861 problematic spliced reads
3000000 valid, 236930 problematic spliced reads
3100000 valid, 244859 problematic spliced reads
3200000 valid, 252832 problematic spliced reads
3300000 valid, 260905 problematic spliced reads
3400000 valid, 268812 problematic spliced reads
3500000 valid, 276683 problematic spliced reads
3600000 valid, 284614 problematic spliced reads
3700000 valid, 292634 problematic spliced reads
3800000 valid, 300536 problematic spliced reads
3900000 valid, 308289 problematic spliced reads
4000000 valid, 316167 problematic spliced reads
4100000 valid, 324115 problematic spliced reads
4200000 valid, 331859 problematic spliced reads
4300000 valid, 339799 problematic spliced reads
4400000 valid, 347919 problematic spliced reads
4500000 valid, 355716 problematic spliced reads
4600000 valid, 363681 problematic spliced reads
4700000 valid, 371683 problematic spliced reads
4800000 valid, 379574 problematic spliced reads
4900000 valid, 387525 problematic spliced reads
5000000 valid, 395409 problematic spliced reads
5100000 valid, 403228 problematic spliced reads
5200000 valid, 411064 problematic spliced reads
5300000 valid, 418979 problematic spliced reads
5400000 valid, 426867 problematic spliced reads
5500000 valid, 434853 problematic spliced reads
5600000 valid, 442723 problematic spliced reads
5700000 valid, 450539 problematic spliced reads
5800000 valid, 458509 problematic spliced reads
5900000 valid, 466401 problematic spliced reads
6000000 valid, 474273 problematic spliced reads
6100000 valid, 482142 problematic spliced reads
6200000 valid, 490167 problematic spliced reads
6300000 valid, 498139 problematic spliced reads
6400000 valid, 506160 problematic spliced reads
6500000 valid, 514041 problematic spliced reads
6600000 valid, 522088 problematic spliced reads
6700000 valid, 530053 problematic spliced reads
6800000 valid, 537906 problematic spliced reads
6900000 valid, 545940 problematic spliced reads
7000000 valid, 553917 problematic spliced reads
7100000 valid, 561773 problematic spliced reads
7200000 valid, 569652 problematic spliced reads
7300000 valid, 577625 problematic spliced reads
7400000 valid, 585579 problematic spliced reads
7500000 valid, 593388 problematic spliced reads
7600000 valid, 601422 problematic spliced reads
7700000 valid, 609342 problematic spliced reads
7800000 valid, 617267 problematic spliced reads
7900000 valid, 625060 problematic spliced reads
8000000 valid, 632937 problematic spliced reads
8100000 valid, 640919 problematic spliced reads
8200000 valid, 649023 problematic spliced reads
8300000 valid, 657023 problematic spliced reads
8400000 valid, 664877 problematic spliced reads
8500000 valid, 672913 problematic spliced reads
8600000 valid, 680901 problematic spliced reads
8700000 valid, 688743 problematic spliced reads
8800000 valid, 696627 problematic spliced reads
8900000 valid, 704710 problematic spliced reads
9000000 valid, 712730 problematic spliced reads
9100000 valid, 720630 problematic spliced reads
9200000 valid, 728656 problematic spliced reads
9300000 valid, 736556 problematic spliced reads
9400000 valid, 744404 problematic spliced reads
9500000 valid, 752319 problematic spliced reads
9600000 valid, 760219 problematic spliced reads
9700000 valid, 768137 problematic spliced reads
9800000 valid, 776066 problematic spliced reads
