Converting /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90001015505/90001015505Aligned.out.bam to /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90001015505/90001015505Aligned.out.bam.junc
100000 valid, 8720 problematic spliced reads
200000 valid, 17356 problematic spliced reads
300000 valid, 26158 problematic spliced reads
400000 valid, 34964 problematic spliced reads
500000 valid, 43728 problematic spliced reads
600000 valid, 52382 problematic spliced reads
700000 valid, 60968 problematic spliced reads
800000 valid, 69694 problematic spliced reads
900000 valid, 78355 problematic spliced reads
1000000 valid, 87013 problematic spliced reads
1100000 valid, 95744 problematic spliced reads
1200000 valid, 104562 problematic spliced reads
1300000 valid, 113224 problematic spliced reads
1400000 valid, 122069 problematic spliced reads
1500000 valid, 130610 problematic spliced reads
1600000 valid, 139475 problematic spliced reads
1700000 valid, 148040 problematic spliced reads
1800000 valid, 156820 problematic spliced reads
1900000 valid, 165551 problematic spliced reads
2000000 valid, 174114 problematic spliced reads
2100000 valid, 182822 problematic spliced reads
2200000 valid, 191568 problematic spliced reads
2300000 valid, 200164 problematic spliced reads
2400000 valid, 208740 problematic spliced reads
2500000 valid, 217437 problematic spliced reads
2600000 valid, 226132 problematic spliced reads
2700000 valid, 234912 problematic spliced reads
2800000 valid, 243687 problematic spliced reads
2900000 valid, 252333 problematic spliced reads
3000000 valid, 261010 problematic spliced reads
3100000 valid, 269530 problematic spliced reads
3200000 valid, 278178 problematic spliced reads
3300000 valid, 286749 problematic spliced reads
3400000 valid, 295511 problematic spliced reads
3500000 valid, 304296 problematic spliced reads
3600000 valid, 313146 problematic spliced reads
3700000 valid, 321960 problematic spliced reads
3800000 valid, 330674 problematic spliced reads
3900000 valid, 339311 problematic spliced reads
4000000 valid, 347962 problematic spliced reads
4100000 valid, 356635 problematic spliced reads
4200000 valid, 365521 problematic spliced reads
4300000 valid, 374308 problematic spliced reads
4400000 valid, 383016 problematic spliced reads
4500000 valid, 391678 problematic spliced reads
4600000 valid, 400370 problematic spliced reads
4700000 valid, 408912 problematic spliced reads
4800000 valid, 417629 problematic spliced reads
4900000 valid, 426395 problematic spliced reads
5000000 valid, 435075 problematic spliced reads
5100000 valid, 443981 problematic spliced reads
5200000 valid, 452677 problematic spliced reads
5300000 valid, 461355 problematic spliced reads
5400000 valid, 470023 problematic spliced reads
5500000 valid, 478700 problematic spliced reads
5600000 valid, 487309 problematic spliced reads
5700000 valid, 496096 problematic spliced reads
5800000 valid, 504930 problematic spliced reads
5900000 valid, 513812 problematic spliced reads
6000000 valid, 522383 problematic spliced reads
6100000 valid, 531320 problematic spliced reads
6200000 valid, 539970 problematic spliced reads
6300000 valid, 548799 problematic spliced reads
6400000 valid, 557610 problematic spliced reads
6500000 valid, 566347 problematic spliced reads
6600000 valid, 574969 problematic spliced reads
6700000 valid, 583637 problematic spliced reads
6800000 valid, 592269 problematic spliced reads
6900000 valid, 601109 problematic spliced reads
7000000 valid, 609761 problematic spliced reads
7100000 valid, 618767 problematic spliced reads
7200000 valid, 627720 problematic spliced reads
7300000 valid, 636351 problematic spliced reads
7400000 valid, 644991 problematic spliced reads
7500000 valid, 653918 problematic spliced reads
7600000 valid, 662812 problematic spliced reads
7700000 valid, 671576 problematic spliced reads
7800000 valid, 680437 problematic spliced reads
7900000 valid, 689190 problematic spliced reads
8000000 valid, 697930 problematic spliced reads
8100000 valid, 706711 problematic spliced reads
8200000 valid, 715619 problematic spliced reads
8300000 valid, 724263 problematic spliced reads
8400000 valid, 733008 problematic spliced reads
8500000 valid, 741732 problematic spliced reads
8600000 valid, 750352 problematic spliced reads
8700000 valid, 759282 problematic spliced reads
8800000 valid, 768015 problematic spliced reads
8900000 valid, 776637 problematic spliced reads
9000000 valid, 785369 problematic spliced reads
9100000 valid, 794088 problematic spliced reads
9200000 valid, 802912 problematic spliced reads
9300000 valid, 811776 problematic spliced reads
9400000 valid, 820489 problematic spliced reads
9500000 valid, 829136 problematic spliced reads
9600000 valid, 837898 problematic spliced reads
9700000 valid, 846872 problematic spliced reads
9800000 valid, 855719 problematic spliced reads
9900000 valid, 864417 problematic spliced reads
10000000 valid, 873050 problematic spliced reads
10100000 valid, 881889 problematic spliced reads
10200000 valid, 890586 problematic spliced reads
10300000 valid, 899512 problematic spliced reads
10400000 valid, 908317 problematic spliced reads
10500000 valid, 917081 problematic spliced reads
10600000 valid, 925832 problematic spliced reads
10700000 valid, 934764 problematic spliced reads
10800000 valid, 943319 problematic spliced reads
10900000 valid, 951986 problematic spliced reads
11000000 valid, 960727 problematic spliced reads
11100000 valid, 969470 problematic spliced reads
11200000 valid, 978197 problematic spliced reads
11300000 valid, 986848 problematic spliced reads
11400000 valid, 995455 problematic spliced reads
11500000 valid, 1004147 problematic spliced reads
11600000 valid, 1013056 problematic spliced reads
11700000 valid, 1021762 problematic spliced reads
11800000 valid, 1030463 problematic spliced reads
11900000 valid, 1039252 problematic spliced reads
12000000 valid, 1047839 problematic spliced reads
12100000 valid, 1056837 problematic spliced reads
12200000 valid, 1065485 problematic spliced reads
12300000 valid, 1074451 problematic spliced reads
12400000 valid, 1083200 problematic spliced reads
12500000 valid, 1091950 problematic spliced reads
12600000 valid, 1100628 problematic spliced reads
12700000 valid, 1109398 problematic spliced reads
