Converting /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90023015505/90023015505Aligned.out.bam to /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90023015505/90023015505Aligned.out.bam.junc
100000 valid, 7784 problematic spliced reads
200000 valid, 15607 problematic spliced reads
300000 valid, 23299 problematic spliced reads
400000 valid, 31077 problematic spliced reads
500000 valid, 38812 problematic spliced reads
600000 valid, 46612 problematic spliced reads
700000 valid, 54228 problematic spliced reads
800000 valid, 62019 problematic spliced reads
900000 valid, 69599 problematic spliced reads
1000000 valid, 77326 problematic spliced reads
1100000 valid, 85121 problematic spliced reads
1200000 valid, 92788 problematic spliced reads
1300000 valid, 100534 problematic spliced reads
1400000 valid, 108192 problematic spliced reads
1500000 valid, 115777 problematic spliced reads
1600000 valid, 123539 problematic spliced reads
1700000 valid, 131350 problematic spliced reads
1800000 valid, 139186 problematic spliced reads
1900000 valid, 146634 problematic spliced reads
2000000 valid, 154290 problematic spliced reads
2100000 valid, 162021 problematic spliced reads
2200000 valid, 169841 problematic spliced reads
2300000 valid, 177463 problematic spliced reads
2400000 valid, 185053 problematic spliced reads
2500000 valid, 192911 problematic spliced reads
2600000 valid, 200662 problematic spliced reads
2700000 valid, 208246 problematic spliced reads
2800000 valid, 216051 problematic spliced reads
2900000 valid, 223574 problematic spliced reads
3000000 valid, 231367 problematic spliced reads
3100000 valid, 239009 problematic spliced reads
3200000 valid, 246660 problematic spliced reads
3300000 valid, 254263 problematic spliced reads
3400000 valid, 261897 problematic spliced reads
3500000 valid, 269609 problematic spliced reads
3600000 valid, 277408 problematic spliced reads
3700000 valid, 285161 problematic spliced reads
3800000 valid, 292866 problematic spliced reads
3900000 valid, 300594 problematic spliced reads
4000000 valid, 308288 problematic spliced reads
4100000 valid, 315947 problematic spliced reads
4200000 valid, 323745 problematic spliced reads
4300000 valid, 331430 problematic spliced reads
4400000 valid, 339162 problematic spliced reads
4500000 valid, 346808 problematic spliced reads
4600000 valid, 354415 problematic spliced reads
4700000 valid, 362189 problematic spliced reads
4800000 valid, 369891 problematic spliced reads
4900000 valid, 377598 problematic spliced reads
5000000 valid, 385491 problematic spliced reads
5100000 valid, 393184 problematic spliced reads
5200000 valid, 400732 problematic spliced reads
5300000 valid, 408525 problematic spliced reads
5400000 valid, 416328 problematic spliced reads
5500000 valid, 424016 problematic spliced reads
5600000 valid, 431732 problematic spliced reads
5700000 valid, 439419 problematic spliced reads
5800000 valid, 447293 problematic spliced reads
5900000 valid, 455069 problematic spliced reads
6000000 valid, 462647 problematic spliced reads
6100000 valid, 470323 problematic spliced reads
6200000 valid, 478097 problematic spliced reads
6300000 valid, 485894 problematic spliced reads
6400000 valid, 493552 problematic spliced reads
6500000 valid, 501187 problematic spliced reads
6600000 valid, 509018 problematic spliced reads
