Converting /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90145015505/90145015505Aligned.out.bam to /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90145015505/90145015505Aligned.out.bam.junc
100000 valid, 8740 problematic spliced reads
200000 valid, 17426 problematic spliced reads
300000 valid, 26088 problematic spliced reads
400000 valid, 34663 problematic spliced reads
500000 valid, 43308 problematic spliced reads
600000 valid, 52037 problematic spliced reads
700000 valid, 60826 problematic spliced reads
800000 valid, 69519 problematic spliced reads
900000 valid, 78120 problematic spliced reads
1000000 valid, 86925 problematic spliced reads
1100000 valid, 95600 problematic spliced reads
1200000 valid, 104402 problematic spliced reads
1300000 valid, 113143 problematic spliced reads
1400000 valid, 121908 problematic spliced reads
1500000 valid, 130504 problematic spliced reads
1600000 valid, 139026 problematic spliced reads
1700000 valid, 147487 problematic spliced reads
1800000 valid, 156126 problematic spliced reads
1900000 valid, 164659 problematic spliced reads
2000000 valid, 173437 problematic spliced reads
2100000 valid, 182162 problematic spliced reads
2200000 valid, 190783 problematic spliced reads
2300000 valid, 199601 problematic spliced reads
2400000 valid, 208253 problematic spliced reads
2500000 valid, 216933 problematic spliced reads
2600000 valid, 225589 problematic spliced reads
2700000 valid, 234225 problematic spliced reads
2800000 valid, 242937 problematic spliced reads
2900000 valid, 251810 problematic spliced reads
3000000 valid, 260544 problematic spliced reads
3100000 valid, 269204 problematic spliced reads
3200000 valid, 277964 problematic spliced reads
3300000 valid, 286600 problematic spliced reads
3400000 valid, 295197 problematic spliced reads
3500000 valid, 303724 problematic spliced reads
3600000 valid, 312300 problematic spliced reads
3700000 valid, 320847 problematic spliced reads
3800000 valid, 329562 problematic spliced reads
3900000 valid, 338188 problematic spliced reads
4000000 valid, 346957 problematic spliced reads
4100000 valid, 355748 problematic spliced reads
4200000 valid, 364342 problematic spliced reads
4300000 valid, 372989 problematic spliced reads
4400000 valid, 381525 problematic spliced reads
4500000 valid, 390064 problematic spliced reads
4600000 valid, 398712 problematic spliced reads
4700000 valid, 407332 problematic spliced reads
4800000 valid, 416073 problematic spliced reads
4900000 valid, 424762 problematic spliced reads
5000000 valid, 433498 problematic spliced reads
5100000 valid, 442011 problematic spliced reads
5200000 valid, 450692 problematic spliced reads
5300000 valid, 459143 problematic spliced reads
5400000 valid, 467654 problematic spliced reads
5500000 valid, 476295 problematic spliced reads
5600000 valid, 484921 problematic spliced reads
5700000 valid, 493422 problematic spliced reads
5800000 valid, 502028 problematic spliced reads
5900000 valid, 510813 problematic spliced reads
6000000 valid, 519537 problematic spliced reads
6100000 valid, 528181 problematic spliced reads
6200000 valid, 536621 problematic spliced reads
6300000 valid, 545540 problematic spliced reads
6400000 valid, 554156 problematic spliced reads
6500000 valid, 562890 problematic spliced reads
6600000 valid, 571541 problematic spliced reads
6700000 valid, 579928 problematic spliced reads
6800000 valid, 588505 problematic spliced reads
6900000 valid, 597171 problematic spliced reads
7000000 valid, 605677 problematic spliced reads
7100000 valid, 614503 problematic spliced reads
7200000 valid, 623111 problematic spliced reads
7300000 valid, 631763 problematic spliced reads
7400000 valid, 640395 problematic spliced reads
7500000 valid, 649058 problematic spliced reads
7600000 valid, 657646 problematic spliced reads
7700000 valid, 666520 problematic spliced reads
7800000 valid, 675284 problematic spliced reads
7900000 valid, 683852 problematic spliced reads
8000000 valid, 692506 problematic spliced reads
8100000 valid, 701198 problematic spliced reads
8200000 valid, 709942 problematic spliced reads
8300000 valid, 718680 problematic spliced reads
8400000 valid, 727204 problematic spliced reads
8500000 valid, 735892 problematic spliced reads
8600000 valid, 744700 problematic spliced reads
8700000 valid, 753277 problematic spliced reads
8800000 valid, 762039 problematic spliced reads
8900000 valid, 770581 problematic spliced reads
9000000 valid, 779261 problematic spliced reads
9100000 valid, 788054 problematic spliced reads
9200000 valid, 796668 problematic spliced reads
9300000 valid, 805371 problematic spliced reads
9400000 valid, 814196 problematic spliced reads
9500000 valid, 822961 problematic spliced reads
9600000 valid, 831699 problematic spliced reads
9700000 valid, 840308 problematic spliced reads
9800000 valid, 849058 problematic spliced reads
9900000 valid, 857732 problematic spliced reads
10000000 valid, 866371 problematic spliced reads
10100000 valid, 875101 problematic spliced reads
10200000 valid, 883602 problematic spliced reads
10300000 valid, 892478 problematic spliced reads
10400000 valid, 901164 problematic spliced reads
10500000 valid, 909959 problematic spliced reads
10600000 valid, 918562 problematic spliced reads
10700000 valid, 927262 problematic spliced reads
10800000 valid, 935817 problematic spliced reads
10900000 valid, 944574 problematic spliced reads
11000000 valid, 953284 problematic spliced reads
11100000 valid, 961903 problematic spliced reads
11200000 valid, 970506 problematic spliced reads
11300000 valid, 979300 problematic spliced reads
11400000 valid, 988086 problematic spliced reads
11500000 valid, 996896 problematic spliced reads
11600000 valid, 1005623 problematic spliced reads
11700000 valid, 1014162 problematic spliced reads
11800000 valid, 1023059 problematic spliced reads
11900000 valid, 1031828 problematic spliced reads
12000000 valid, 1040433 problematic spliced reads
12100000 valid, 1049158 problematic spliced reads
12200000 valid, 1058161 problematic spliced reads
12300000 valid, 1066796 problematic spliced reads
12400000 valid, 1075586 problematic spliced reads
12500000 valid, 1084122 problematic spliced reads
12600000 valid, 1092750 problematic spliced reads
12700000 valid, 1101466 problematic spliced reads
12800000 valid, 1109980 problematic spliced reads
12900000 valid, 1118625 problematic spliced reads
13000000 valid, 1127146 problematic spliced reads
13100000 valid, 1135745 problematic spliced reads
13200000 valid, 1144359 problematic spliced reads
13300000 valid, 1152802 problematic spliced reads
13400000 valid, 1161256 problematic spliced reads
13500000 valid, 1169820 problematic spliced reads
13600000 valid, 1178501 problematic spliced reads
13700000 valid, 1187152 problematic spliced reads
13800000 valid, 1195899 problematic spliced reads
13900000 valid, 1204658 problematic spliced reads
14000000 valid, 1213352 problematic spliced reads
14100000 valid, 1222048 problematic spliced reads
14200000 valid, 1230754 problematic spliced reads
14300000 valid, 1239510 problematic spliced reads
14400000 valid, 1248312 problematic spliced reads
14500000 valid, 1257138 problematic spliced reads
14600000 valid, 1265977 problematic spliced reads
14700000 valid, 1274633 problematic spliced reads
14800000 valid, 1283568 problematic spliced reads
14900000 valid, 1292448 problematic spliced reads
15000000 valid, 1301066 problematic spliced reads
15100000 valid, 1310070 problematic spliced reads
15200000 valid, 1318846 problematic spliced reads
15300000 valid, 1327727 problematic spliced reads
15400000 valid, 1336481 problematic spliced reads
15500000 valid, 1345260 problematic spliced reads
15600000 valid, 1354029 problematic spliced reads
15700000 valid, 1362771 problematic spliced reads
15800000 valid, 1371416 problematic spliced reads
15900000 valid, 1380178 problematic spliced reads
16000000 valid, 1388786 problematic spliced reads
16100000 valid, 1397432 problematic spliced reads
16200000 valid, 1406207 problematic spliced reads
16300000 valid, 1415012 problematic spliced reads
16400000 valid, 1423746 problematic spliced reads
16500000 valid, 1432464 problematic spliced reads
16600000 valid, 1441125 problematic spliced reads
16700000 valid, 1449695 problematic spliced reads
16800000 valid, 1458514 problematic spliced reads
16900000 valid, 1467290 problematic spliced reads
17000000 valid, 1475963 problematic spliced reads
17100000 valid, 1484730 problematic spliced reads
17200000 valid, 1493544 problematic spliced reads
17300000 valid, 1502394 problematic spliced reads
17400000 valid, 1511240 problematic spliced reads
17500000 valid, 1519776 problematic spliced reads
17600000 valid, 1528441 problematic spliced reads
17700000 valid, 1537262 problematic spliced reads
17800000 valid, 1546017 problematic spliced reads
17900000 valid, 1554635 problematic spliced reads
18000000 valid, 1563643 problematic spliced reads
18100000 valid, 1572334 problematic spliced reads
18200000 valid, 1581218 problematic spliced reads
18300000 valid, 1589937 problematic spliced reads
18400000 valid, 1598768 problematic spliced reads
18500000 valid, 1607333 problematic spliced reads
18600000 valid, 1616072 problematic spliced reads
18700000 valid, 1624845 problematic spliced reads
18800000 valid, 1633560 problematic spliced reads
18900000 valid, 1642356 problematic spliced reads
19000000 valid, 1651113 problematic spliced reads
19100000 valid, 1659717 problematic spliced reads
19200000 valid, 1668519 problematic spliced reads
19300000 valid, 1677076 problematic spliced reads
19400000 valid, 1686051 problematic spliced reads
19500000 valid, 1694716 problematic spliced reads
19600000 valid, 1703623 problematic spliced reads
19700000 valid, 1712221 problematic spliced reads
19800000 valid, 1720942 problematic spliced reads
19900000 valid, 1729758 problematic spliced reads
20000000 valid, 1738409 problematic spliced reads
20100000 valid, 1747237 problematic spliced reads
20200000 valid, 1755987 problematic spliced reads
20300000 valid, 1764902 problematic spliced reads
20400000 valid, 1773628 problematic spliced reads
20500000 valid, 1782506 problematic spliced reads
20600000 valid, 1791260 problematic spliced reads
20700000 valid, 1800065 problematic spliced reads
20800000 valid, 1808793 problematic spliced reads
20900000 valid, 1817481 problematic spliced reads
21000000 valid, 1826309 problematic spliced reads
21100000 valid, 1835048 problematic spliced reads
21200000 valid, 1843801 problematic spliced reads
21300000 valid, 1852389 problematic spliced reads
21400000 valid, 1861116 problematic spliced reads
21500000 valid, 1869988 problematic spliced reads
21600000 valid, 1878729 problematic spliced reads
21700000 valid, 1887518 problematic spliced reads
21800000 valid, 1896205 problematic spliced reads
21900000 valid, 1904927 problematic spliced reads
22000000 valid, 1913560 problematic spliced reads
22100000 valid, 1922153 problematic spliced reads
22200000 valid, 1930949 problematic spliced reads
22300000 valid, 1939660 problematic spliced reads
22400000 valid, 1948367 problematic spliced reads
22500000 valid, 1957055 problematic spliced reads
22600000 valid, 1965725 problematic spliced reads
22700000 valid, 1974427 problematic spliced reads
22800000 valid, 1983311 problematic spliced reads
22900000 valid, 1992013 problematic spliced reads
23000000 valid, 2000875 problematic spliced reads
23100000 valid, 2009619 problematic spliced reads
23200000 valid, 2018408 problematic spliced reads
23300000 valid, 2026965 problematic spliced reads
23400000 valid, 2035762 problematic spliced reads
23500000 valid, 2044303 problematic spliced reads
23600000 valid, 2053031 problematic spliced reads
23700000 valid, 2061687 problematic spliced reads
23800000 valid, 2070524 problematic spliced reads
23900000 valid, 2079204 problematic spliced reads
24000000 valid, 2087968 problematic spliced reads
24100000 valid, 2096649 problematic spliced reads
24200000 valid, 2105195 problematic spliced reads
24300000 valid, 2113829 problematic spliced reads
24400000 valid, 2122429 problematic spliced reads
24500000 valid, 2131152 problematic spliced reads
24600000 valid, 2139884 problematic spliced reads
24700000 valid, 2148701 problematic spliced reads
24800000 valid, 2157409 problematic spliced reads
24900000 valid, 2166075 problematic spliced reads
25000000 valid, 2174984 problematic spliced reads
25100000 valid, 2183680 problematic spliced reads
25200000 valid, 2192535 problematic spliced reads
25300000 valid, 2201468 problematic spliced reads
25400000 valid, 2210331 problematic spliced reads
25500000 valid, 2219104 problematic spliced reads
25600000 valid, 2227831 problematic spliced reads
25700000 valid, 2236637 problematic spliced reads
25800000 valid, 2245484 problematic spliced reads
25900000 valid, 2254189 problematic spliced reads
26000000 valid, 2262802 problematic spliced reads
26100000 valid, 2271506 problematic spliced reads
26200000 valid, 2280150 problematic spliced reads
26300000 valid, 2288525 problematic spliced reads
26400000 valid, 2297293 problematic spliced reads
26500000 valid, 2305964 problematic spliced reads
26600000 valid, 2314618 problematic spliced reads
