Converting /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90136015505/90136015505Aligned.out.bam to /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90136015505/90136015505Aligned.out.bam.junc
100000 valid, 8163 problematic spliced reads
200000 valid, 16521 problematic spliced reads
300000 valid, 24729 problematic spliced reads
400000 valid, 32912 problematic spliced reads
500000 valid, 41170 problematic spliced reads
600000 valid, 49304 problematic spliced reads
700000 valid, 57489 problematic spliced reads
800000 valid, 65822 problematic spliced reads
900000 valid, 74109 problematic spliced reads
1000000 valid, 82353 problematic spliced reads
1100000 valid, 90695 problematic spliced reads
1200000 valid, 99005 problematic spliced reads
1300000 valid, 107316 problematic spliced reads
1400000 valid, 115623 problematic spliced reads
1500000 valid, 123933 problematic spliced reads
1600000 valid, 132158 problematic spliced reads
1700000 valid, 140480 problematic spliced reads
1800000 valid, 148741 problematic spliced reads
1900000 valid, 157074 problematic spliced reads
2000000 valid, 165463 problematic spliced reads
2100000 valid, 173612 problematic spliced reads
2200000 valid, 181638 problematic spliced reads
2300000 valid, 189756 problematic spliced reads
2400000 valid, 197967 problematic spliced reads
2500000 valid, 206012 problematic spliced reads
2600000 valid, 214195 problematic spliced reads
2700000 valid, 222528 problematic spliced reads
2800000 valid, 230676 problematic spliced reads
2900000 valid, 239083 problematic spliced reads
3000000 valid, 247594 problematic spliced reads
3100000 valid, 255818 problematic spliced reads
3200000 valid, 264078 problematic spliced reads
3300000 valid, 272306 problematic spliced reads
3400000 valid, 280919 problematic spliced reads
3500000 valid, 289399 problematic spliced reads
3600000 valid, 297803 problematic spliced reads
3700000 valid, 305979 problematic spliced reads
3800000 valid, 314333 problematic spliced reads
3900000 valid, 322431 problematic spliced reads
4000000 valid, 330764 problematic spliced reads
4100000 valid, 339070 problematic spliced reads
4200000 valid, 347259 problematic spliced reads
4300000 valid, 355541 problematic spliced reads
4400000 valid, 363675 problematic spliced reads
4500000 valid, 371996 problematic spliced reads
4600000 valid, 380070 problematic spliced reads
4700000 valid, 388387 problematic spliced reads
4800000 valid, 396684 problematic spliced reads
4900000 valid, 404933 problematic spliced reads
5000000 valid, 413280 problematic spliced reads
5100000 valid, 421652 problematic spliced reads
5200000 valid, 430005 problematic spliced reads
5300000 valid, 438228 problematic spliced reads
5400000 valid, 446414 problematic spliced reads
5500000 valid, 454562 problematic spliced reads
5600000 valid, 462910 problematic spliced reads
5700000 valid, 471160 problematic spliced reads
5800000 valid, 479457 problematic spliced reads
5900000 valid, 487787 problematic spliced reads
6000000 valid, 495917 problematic spliced reads
6100000 valid, 503948 problematic spliced reads
6200000 valid, 512052 problematic spliced reads
6300000 valid, 520126 problematic spliced reads
6400000 valid, 528418 problematic spliced reads
6500000 valid, 536615 problematic spliced reads
6600000 valid, 544934 problematic spliced reads
6700000 valid, 553242 problematic spliced reads
6800000 valid, 561462 problematic spliced reads
6900000 valid, 569569 problematic spliced reads
7000000 valid, 577803 problematic spliced reads
7100000 valid, 586159 problematic spliced reads
7200000 valid, 594377 problematic spliced reads
7300000 valid, 602661 problematic spliced reads
7400000 valid, 610871 problematic spliced reads
7500000 valid, 619168 problematic spliced reads
7600000 valid, 627315 problematic spliced reads
7700000 valid, 635541 problematic spliced reads
7800000 valid, 643653 problematic spliced reads
7900000 valid, 651937 problematic spliced reads
8000000 valid, 660169 problematic spliced reads
8100000 valid, 668470 problematic spliced reads
8200000 valid, 676656 problematic spliced reads
8300000 valid, 685091 problematic spliced reads
8400000 valid, 693308 problematic spliced reads
8500000 valid, 701516 problematic spliced reads
8600000 valid, 709945 problematic spliced reads
8700000 valid, 718241 problematic spliced reads
8800000 valid, 726616 problematic spliced reads
8900000 valid, 734818 problematic spliced reads
9000000 valid, 743173 problematic spliced reads
9100000 valid, 751464 problematic spliced reads
9200000 valid, 759740 problematic spliced reads
