Converting /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90043015505/90043015505Aligned.out.bam to /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90043015505/90043015505Aligned.out.bam.junc
100000 valid, 9177 problematic spliced reads
200000 valid, 18384 problematic spliced reads
300000 valid, 27832 problematic spliced reads
400000 valid, 36977 problematic spliced reads
500000 valid, 46167 problematic spliced reads
600000 valid, 55547 problematic spliced reads
700000 valid, 64832 problematic spliced reads
800000 valid, 74147 problematic spliced reads
900000 valid, 83183 problematic spliced reads
1000000 valid, 92280 problematic spliced reads
1100000 valid, 101580 problematic spliced reads
1200000 valid, 110627 problematic spliced reads
1300000 valid, 119686 problematic spliced reads
1400000 valid, 128937 problematic spliced reads
1500000 valid, 138345 problematic spliced reads
1600000 valid, 147638 problematic spliced reads
1700000 valid, 157006 problematic spliced reads
1800000 valid, 166302 problematic spliced reads
1900000 valid, 175605 problematic spliced reads
2000000 valid, 184630 problematic spliced reads
2100000 valid, 194038 problematic spliced reads
2200000 valid, 203400 problematic spliced reads
2300000 valid, 212608 problematic spliced reads
2400000 valid, 221770 problematic spliced reads
2500000 valid, 230876 problematic spliced reads
2600000 valid, 240246 problematic spliced reads
2700000 valid, 249187 problematic spliced reads
2800000 valid, 258524 problematic spliced reads
2900000 valid, 267576 problematic spliced reads
3000000 valid, 276501 problematic spliced reads
3100000 valid, 285920 problematic spliced reads
3200000 valid, 295181 problematic spliced reads
3300000 valid, 304110 problematic spliced reads
3400000 valid, 313223 problematic spliced reads
3500000 valid, 322321 problematic spliced reads
3600000 valid, 331342 problematic spliced reads
3700000 valid, 340557 problematic spliced reads
3800000 valid, 349768 problematic spliced reads
3900000 valid, 358947 problematic spliced reads
4000000 valid, 368116 problematic spliced reads
4100000 valid, 377471 problematic spliced reads
4200000 valid, 386667 problematic spliced reads
4300000 valid, 395784 problematic spliced reads
4400000 valid, 404828 problematic spliced reads
4500000 valid, 413755 problematic spliced reads
4600000 valid, 422864 problematic spliced reads
4700000 valid, 432231 problematic spliced reads
4800000 valid, 441621 problematic spliced reads
4900000 valid, 450916 problematic spliced reads
5000000 valid, 460141 problematic spliced reads
5100000 valid, 469358 problematic spliced reads
5200000 valid, 478514 problematic spliced reads
5300000 valid, 487409 problematic spliced reads
5400000 valid, 496570 problematic spliced reads
5500000 valid, 505689 problematic spliced reads
5600000 valid, 514861 problematic spliced reads
5700000 valid, 524005 problematic spliced reads
5800000 valid, 533364 problematic spliced reads
5900000 valid, 542694 problematic spliced reads
6000000 valid, 551945 problematic spliced reads
6100000 valid, 561114 problematic spliced reads
6200000 valid, 570238 problematic spliced reads
6300000 valid, 579579 problematic spliced reads
6400000 valid, 588698 problematic spliced reads
6500000 valid, 598052 problematic spliced reads
6600000 valid, 607216 problematic spliced reads
6700000 valid, 616727 problematic spliced reads
6800000 valid, 625940 problematic spliced reads
6900000 valid, 635142 problematic spliced reads
7000000 valid, 644306 problematic spliced reads
7100000 valid, 653468 problematic spliced reads
7200000 valid, 662665 problematic spliced reads
7300000 valid, 671740 problematic spliced reads
7400000 valid, 681020 problematic spliced reads
7500000 valid, 690163 problematic spliced reads
7600000 valid, 699423 problematic spliced reads
7700000 valid, 708614 problematic spliced reads
7800000 valid, 717840 problematic spliced reads
7900000 valid, 727258 problematic spliced reads
8000000 valid, 736478 problematic spliced reads
8100000 valid, 745292 problematic spliced reads
8200000 valid, 754519 problematic spliced reads
8300000 valid, 763627 problematic spliced reads
8400000 valid, 772766 problematic spliced reads
8500000 valid, 781947 problematic spliced reads
8600000 valid, 791190 problematic spliced reads
8700000 valid, 800567 problematic spliced reads
8800000 valid, 809741 problematic spliced reads
8900000 valid, 818850 problematic spliced reads
9000000 valid, 828072 problematic spliced reads
9100000 valid, 837126 problematic spliced reads
9200000 valid, 846230 problematic spliced reads
9300000 valid, 855447 problematic spliced reads
9400000 valid, 864589 problematic spliced reads
9500000 valid, 873846 problematic spliced reads
9600000 valid, 883231 problematic spliced reads
9700000 valid, 892470 problematic spliced reads
9800000 valid, 901726 problematic spliced reads
9900000 valid, 910899 problematic spliced reads
10000000 valid, 919989 problematic spliced reads
10100000 valid, 929203 problematic spliced reads
10200000 valid, 938473 problematic spliced reads
10300000 valid, 947601 problematic spliced reads
10400000 valid, 957022 problematic spliced reads
10500000 valid, 966164 problematic spliced reads
10600000 valid, 975336 problematic spliced reads
10700000 valid, 984650 problematic spliced reads
10800000 valid, 994072 problematic spliced reads
10900000 valid, 1003507 problematic spliced reads
11000000 valid, 1012562 problematic spliced reads
11100000 valid, 1021723 problematic spliced reads
11200000 valid, 1030880 problematic spliced reads
11300000 valid, 1040110 problematic spliced reads
11400000 valid, 1049456 problematic spliced reads
11500000 valid, 1058630 problematic spliced reads
11600000 valid, 1067842 problematic spliced reads
11700000 valid, 1077058 problematic spliced reads
11800000 valid, 1086324 problematic spliced reads
11900000 valid, 1095314 problematic spliced reads
12000000 valid, 1104525 problematic spliced reads
12100000 valid, 1113570 problematic spliced reads
12200000 valid, 1122694 problematic spliced reads
12300000 valid, 1131740 problematic spliced reads
12400000 valid, 1140986 problematic spliced reads
12500000 valid, 1150229 problematic spliced reads
12600000 valid, 1159371 problematic spliced reads
12700000 valid, 1168561 problematic spliced reads
12800000 valid, 1177559 problematic spliced reads
12900000 valid, 1186613 problematic spliced reads
13000000 valid, 1195718 problematic spliced reads
13100000 valid, 1205040 problematic spliced reads
13200000 valid, 1214430 problematic spliced reads
13300000 valid, 1223604 problematic spliced reads
13400000 valid, 1232764 problematic spliced reads
13500000 valid, 1242114 problematic spliced reads
13600000 valid, 1251533 problematic spliced reads
13700000 valid, 1260651 problematic spliced reads
13800000 valid, 1269938 problematic spliced reads
13900000 valid, 1279368 problematic spliced reads
14000000 valid, 1288414 problematic spliced reads
14100000 valid, 1297671 problematic spliced reads
14200000 valid, 1307037 problematic spliced reads
14300000 valid, 1316175 problematic spliced reads
14400000 valid, 1325171 problematic spliced reads
14500000 valid, 1334367 problematic spliced reads
14600000 valid, 1343690 problematic spliced reads
14700000 valid, 1353075 problematic spliced reads
14800000 valid, 1362370 problematic spliced reads
14900000 valid, 1371461 problematic spliced reads
15000000 valid, 1380495 problematic spliced reads
15100000 valid, 1389885 problematic spliced reads
15200000 valid, 1399113 problematic spliced reads
15300000 valid, 1408327 problematic spliced reads
15400000 valid, 1417523 problematic spliced reads
15500000 valid, 1426835 problematic spliced reads
15600000 valid, 1436046 problematic spliced reads
15700000 valid, 1445214 problematic spliced reads
15800000 valid, 1454405 problematic spliced reads
15900000 valid, 1463664 problematic spliced reads
16000000 valid, 1472951 problematic spliced reads
16100000 valid, 1482204 problematic spliced reads
16200000 valid, 1491434 problematic spliced reads
16300000 valid, 1500554 problematic spliced reads
16400000 valid, 1509858 problematic spliced reads
16500000 valid, 1519071 problematic spliced reads
16600000 valid, 1528291 problematic spliced reads
16700000 valid, 1537533 problematic spliced reads
16800000 valid, 1546967 problematic spliced reads
16900000 valid, 1556036 problematic spliced reads
17000000 valid, 1565448 problematic spliced reads
17100000 valid, 1574723 problematic spliced reads
17200000 valid, 1583886 problematic spliced reads
17300000 valid, 1593050 problematic spliced reads
17400000 valid, 1602210 problematic spliced reads
17500000 valid, 1611370 problematic spliced reads
17600000 valid, 1620432 problematic spliced reads
17700000 valid, 1629686 problematic spliced reads
17800000 valid, 1638963 problematic spliced reads
