Converting /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90033015505/90033015505Aligned.out.bam to /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90033015505/90033015505Aligned.out.bam.junc
100000 valid, 8443 problematic spliced reads
200000 valid, 17062 problematic spliced reads
300000 valid, 25673 problematic spliced reads
400000 valid, 34282 problematic spliced reads
500000 valid, 42749 problematic spliced reads
600000 valid, 51150 problematic spliced reads
700000 valid, 59456 problematic spliced reads
800000 valid, 67766 problematic spliced reads
900000 valid, 76216 problematic spliced reads
1000000 valid, 84447 problematic spliced reads
1100000 valid, 92887 problematic spliced reads
1200000 valid, 101209 problematic spliced reads
1300000 valid, 109490 problematic spliced reads
1400000 valid, 117856 problematic spliced reads
1500000 valid, 126338 problematic spliced reads
1600000 valid, 134814 problematic spliced reads
1700000 valid, 143344 problematic spliced reads
1800000 valid, 151922 problematic spliced reads
1900000 valid, 160340 problematic spliced reads
2000000 valid, 168713 problematic spliced reads
2100000 valid, 177113 problematic spliced reads
2200000 valid, 185622 problematic spliced reads
2300000 valid, 194054 problematic spliced reads
2400000 valid, 202682 problematic spliced reads
2500000 valid, 210930 problematic spliced reads
2600000 valid, 219638 problematic spliced reads
2700000 valid, 228150 problematic spliced reads
2800000 valid, 236575 problematic spliced reads
2900000 valid, 244933 problematic spliced reads
3000000 valid, 253303 problematic spliced reads
3100000 valid, 261936 problematic spliced reads
3200000 valid, 270310 problematic spliced reads
3300000 valid, 278783 problematic spliced reads
3400000 valid, 287367 problematic spliced reads
3500000 valid, 296032 problematic spliced reads
3600000 valid, 304601 problematic spliced reads
3700000 valid, 313021 problematic spliced reads
3800000 valid, 321484 problematic spliced reads
3900000 valid, 329823 problematic spliced reads
4000000 valid, 338342 problematic spliced reads
4100000 valid, 346760 problematic spliced reads
4200000 valid, 355259 problematic spliced reads
4300000 valid, 363753 problematic spliced reads
4400000 valid, 372156 problematic spliced reads
4500000 valid, 380556 problematic spliced reads
4600000 valid, 388794 problematic spliced reads
4700000 valid, 397053 problematic spliced reads
4800000 valid, 405404 problematic spliced reads
4900000 valid, 413858 problematic spliced reads
5000000 valid, 422406 problematic spliced reads
5100000 valid, 430808 problematic spliced reads
5200000 valid, 439366 problematic spliced reads
5300000 valid, 447787 problematic spliced reads
5400000 valid, 456021 problematic spliced reads
5500000 valid, 464569 problematic spliced reads
5600000 valid, 473027 problematic spliced reads
5700000 valid, 481338 problematic spliced reads
5800000 valid, 489749 problematic spliced reads
5900000 valid, 498305 problematic spliced reads
6000000 valid, 506721 problematic spliced reads
6100000 valid, 515106 problematic spliced reads
6200000 valid, 523535 problematic spliced reads
6300000 valid, 531850 problematic spliced reads
6400000 valid, 540285 problematic spliced reads
6500000 valid, 548676 problematic spliced reads
6600000 valid, 557142 problematic spliced reads
6700000 valid, 565684 problematic spliced reads
6800000 valid, 574171 problematic spliced reads
6900000 valid, 582488 problematic spliced reads
7000000 valid, 591102 problematic spliced reads
7100000 valid, 599653 problematic spliced reads
7200000 valid, 608134 problematic spliced reads
7300000 valid, 616605 problematic spliced reads
7400000 valid, 625155 problematic spliced reads
7500000 valid, 633607 problematic spliced reads
7600000 valid, 641937 problematic spliced reads
7700000 valid, 650329 problematic spliced reads
7800000 valid, 658676 problematic spliced reads
7900000 valid, 667225 problematic spliced reads
8000000 valid, 675697 problematic spliced reads
8100000 valid, 684076 problematic spliced reads
8200000 valid, 692440 problematic spliced reads
8300000 valid, 700649 problematic spliced reads
8400000 valid, 708925 problematic spliced reads
8500000 valid, 717246 problematic spliced reads
8600000 valid, 725748 problematic spliced reads
8700000 valid, 734175 problematic spliced reads
8800000 valid, 742629 problematic spliced reads
8900000 valid, 751048 problematic spliced reads
9000000 valid, 759688 problematic spliced reads
9100000 valid, 768034 problematic spliced reads
9200000 valid, 776329 problematic spliced reads
9300000 valid, 784768 problematic spliced reads
9400000 valid, 793214 problematic spliced reads
9500000 valid, 801568 problematic spliced reads
9600000 valid, 809937 problematic spliced reads
9700000 valid, 818323 problematic spliced reads
9800000 valid, 826780 problematic spliced reads
9900000 valid, 835224 problematic spliced reads
10000000 valid, 843591 problematic spliced reads
10100000 valid, 851988 problematic spliced reads
10200000 valid, 860340 problematic spliced reads
10300000 valid, 868806 problematic spliced reads
10400000 valid, 877472 problematic spliced reads
10500000 valid, 885996 problematic spliced reads
10600000 valid, 894332 problematic spliced reads
10700000 valid, 902645 problematic spliced reads
10800000 valid, 911126 problematic spliced reads
10900000 valid, 919550 problematic spliced reads
11000000 valid, 928123 problematic spliced reads
11100000 valid, 936842 problematic spliced reads
11200000 valid, 945237 problematic spliced reads
11300000 valid, 953672 problematic spliced reads
11400000 valid, 962064 problematic spliced reads
11500000 valid, 970333 problematic spliced reads
11600000 valid, 978717 problematic spliced reads
11700000 valid, 987109 problematic spliced reads
11800000 valid, 995620 problematic spliced reads
11900000 valid, 1003890 problematic spliced reads
12000000 valid, 1012385 problematic spliced reads
12100000 valid, 1020838 problematic spliced reads
12200000 valid, 1029181 problematic spliced reads
12300000 valid, 1037522 problematic spliced reads
12400000 valid, 1046015 problematic spliced reads
12500000 valid, 1054562 problematic spliced reads
12600000 valid, 1063145 problematic spliced reads
12700000 valid, 1071663 problematic spliced reads
12800000 valid, 1080306 problematic spliced reads
12900000 valid, 1088752 problematic spliced reads
13000000 valid, 1097376 problematic spliced reads
13100000 valid, 1105806 problematic spliced reads
13200000 valid, 1114387 problematic spliced reads
13300000 valid, 1122671 problematic spliced reads
13400000 valid, 1131234 problematic spliced reads
13500000 valid, 1139832 problematic spliced reads
13600000 valid, 1148584 problematic spliced reads
13700000 valid, 1157197 problematic spliced reads
13800000 valid, 1165652 problematic spliced reads
13900000 valid, 1174286 problematic spliced reads
14000000 valid, 1182891 problematic spliced reads
14100000 valid, 1191222 problematic spliced reads
14200000 valid, 1199881 problematic spliced reads
14300000 valid, 1208567 problematic spliced reads
14400000 valid, 1217183 problematic spliced reads
14500000 valid, 1225795 problematic spliced reads
14600000 valid, 1234501 problematic spliced reads
14700000 valid, 1243030 problematic spliced reads
14800000 valid, 1251522 problematic spliced reads
14900000 valid, 1259946 problematic spliced reads
15000000 valid, 1268392 problematic spliced reads
15100000 valid, 1276916 problematic spliced reads
15200000 valid, 1285562 problematic spliced reads
15300000 valid, 1294148 problematic spliced reads
15400000 valid, 1302678 problematic spliced reads
15500000 valid, 1311072 problematic spliced reads
15600000 valid, 1319511 problematic spliced reads
15700000 valid, 1328159 problematic spliced reads
15800000 valid, 1336557 problematic spliced reads
15900000 valid, 1345063 problematic spliced reads
16000000 valid, 1353509 problematic spliced reads
16100000 valid, 1361911 problematic spliced reads
16200000 valid, 1370297 problematic spliced reads
16300000 valid, 1378902 problematic spliced reads
16400000 valid, 1387488 problematic spliced reads
16500000 valid, 1396044 problematic spliced reads
16600000 valid, 1404658 problematic spliced reads
16700000 valid, 1413186 problematic spliced reads
16800000 valid, 1421758 problematic spliced reads
16900000 valid, 1430344 problematic spliced reads
17000000 valid, 1438953 problematic spliced reads
17100000 valid, 1447479 problematic spliced reads
17200000 valid, 1456081 problematic spliced reads
17300000 valid, 1464658 problematic spliced reads
17400000 valid, 1473205 problematic spliced reads
17500000 valid, 1481654 problematic spliced reads
17600000 valid, 1490128 problematic spliced reads
17700000 valid, 1498408 problematic spliced reads
17800000 valid, 1506866 problematic spliced reads
17900000 valid, 1515245 problematic spliced reads
18000000 valid, 1523785 problematic spliced reads
18100000 valid, 1532138 problematic spliced reads
18200000 valid, 1540520 problematic spliced reads
18300000 valid, 1549034 problematic spliced reads
18400000 valid, 1557790 problematic spliced reads
18500000 valid, 1566401 problematic spliced reads
18600000 valid, 1574832 problematic spliced reads
18700000 valid, 1583289 problematic spliced reads
18800000 valid, 1591874 problematic spliced reads
18900000 valid, 1600429 problematic spliced reads
19000000 valid, 1608969 problematic spliced reads
19100000 valid, 1617752 problematic spliced reads
19200000 valid, 1626175 problematic spliced reads
19300000 valid, 1634648 problematic spliced reads
19400000 valid, 1643027 problematic spliced reads
19500000 valid, 1651481 problematic spliced reads
19600000 valid, 1660055 problematic spliced reads
19700000 valid, 1668584 problematic spliced reads
19800000 valid, 1676923 problematic spliced reads
19900000 valid, 1685316 problematic spliced reads
20000000 valid, 1693702 problematic spliced reads
20100000 valid, 1702201 problematic spliced reads
20200000 valid, 1710654 problematic spliced reads
20300000 valid, 1719427 problematic spliced reads
20400000 valid, 1728039 problematic spliced reads
20500000 valid, 1736494 problematic spliced reads
20600000 valid, 1745012 problematic spliced reads
20700000 valid, 1753578 problematic spliced reads
20800000 valid, 1762264 problematic spliced reads
20900000 valid, 1770621 problematic spliced reads
21000000 valid, 1779254 problematic spliced reads
21100000 valid, 1787895 problematic spliced reads
21200000 valid, 1796379 problematic spliced reads
21300000 valid, 1805035 problematic spliced reads
