Converting /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90139015505/90139015505Aligned.out.bam to /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90139015505/90139015505Aligned.out.bam.junc
100000 valid, 8654 problematic spliced reads
200000 valid, 17290 problematic spliced reads
300000 valid, 25921 problematic spliced reads
400000 valid, 34615 problematic spliced reads
500000 valid, 43008 problematic spliced reads
600000 valid, 51454 problematic spliced reads
700000 valid, 59925 problematic spliced reads
800000 valid, 68453 problematic spliced reads
900000 valid, 77089 problematic spliced reads
1000000 valid, 85785 problematic spliced reads
1100000 valid, 94444 problematic spliced reads
1200000 valid, 103072 problematic spliced reads
1300000 valid, 111762 problematic spliced reads
1400000 valid, 120340 problematic spliced reads
1500000 valid, 129002 problematic spliced reads
1600000 valid, 137582 problematic spliced reads
1700000 valid, 146311 problematic spliced reads
1800000 valid, 154685 problematic spliced reads
1900000 valid, 163168 problematic spliced reads
2000000 valid, 171764 problematic spliced reads
2100000 valid, 180434 problematic spliced reads
2200000 valid, 189087 problematic spliced reads
2300000 valid, 197530 problematic spliced reads
2400000 valid, 206164 problematic spliced reads
2500000 valid, 214643 problematic spliced reads
2600000 valid, 223273 problematic spliced reads
2700000 valid, 231869 problematic spliced reads
2800000 valid, 240409 problematic spliced reads
2900000 valid, 249158 problematic spliced reads
3000000 valid, 257777 problematic spliced reads
3100000 valid, 266277 problematic spliced reads
3200000 valid, 274764 problematic spliced reads
3300000 valid, 283275 problematic spliced reads
3400000 valid, 291933 problematic spliced reads
3500000 valid, 300447 problematic spliced reads
3600000 valid, 308956 problematic spliced reads
3700000 valid, 317553 problematic spliced reads
3800000 valid, 326143 problematic spliced reads
3900000 valid, 334590 problematic spliced reads
4000000 valid, 343188 problematic spliced reads
4100000 valid, 351968 problematic spliced reads
4200000 valid, 360675 problematic spliced reads
4300000 valid, 369340 problematic spliced reads
4400000 valid, 377901 problematic spliced reads
4500000 valid, 386403 problematic spliced reads
4600000 valid, 394966 problematic spliced reads
4700000 valid, 403305 problematic spliced reads
4800000 valid, 411893 problematic spliced reads
4900000 valid, 420422 problematic spliced reads
5000000 valid, 428897 problematic spliced reads
5100000 valid, 437409 problematic spliced reads
5200000 valid, 445862 problematic spliced reads
5300000 valid, 454320 problematic spliced reads
5400000 valid, 462843 problematic spliced reads
5500000 valid, 471533 problematic spliced reads
5600000 valid, 480143 problematic spliced reads
5700000 valid, 488698 problematic spliced reads
5800000 valid, 497075 problematic spliced reads
5900000 valid, 505751 problematic spliced reads
6000000 valid, 514373 problematic spliced reads
6100000 valid, 523078 problematic spliced reads
6200000 valid, 531810 problematic spliced reads
6300000 valid, 540449 problematic spliced reads
6400000 valid, 548891 problematic spliced reads
6500000 valid, 557406 problematic spliced reads
6600000 valid, 565845 problematic spliced reads
6700000 valid, 574327 problematic spliced reads
6800000 valid, 582773 problematic spliced reads
6900000 valid, 591323 problematic spliced reads
7000000 valid, 599879 problematic spliced reads
7100000 valid, 608435 problematic spliced reads
7200000 valid, 616940 problematic spliced reads
7300000 valid, 625448 problematic spliced reads
7400000 valid, 634164 problematic spliced reads
7500000 valid, 642626 problematic spliced reads
7600000 valid, 651117 problematic spliced reads
7700000 valid, 659849 problematic spliced reads
7800000 valid, 668472 problematic spliced reads
7900000 valid, 676973 problematic spliced reads
8000000 valid, 685597 problematic spliced reads
8100000 valid, 694268 problematic spliced reads
8200000 valid, 702952 problematic spliced reads
8300000 valid, 711579 problematic spliced reads
8400000 valid, 720263 problematic spliced reads
8500000 valid, 729027 problematic spliced reads
8600000 valid, 737742 problematic spliced reads
8700000 valid, 746452 problematic spliced reads
8800000 valid, 755074 problematic spliced reads
8900000 valid, 763675 problematic spliced reads
9000000 valid, 772422 problematic spliced reads
9100000 valid, 781115 problematic spliced reads
9200000 valid, 789629 problematic spliced reads
9300000 valid, 798196 problematic spliced reads
9400000 valid, 806776 problematic spliced reads
9500000 valid, 815480 problematic spliced reads
9600000 valid, 824071 problematic spliced reads
9700000 valid, 832671 problematic spliced reads
9800000 valid, 841432 problematic spliced reads
9900000 valid, 850295 problematic spliced reads
10000000 valid, 858905 problematic spliced reads
10100000 valid, 867689 problematic spliced reads
10200000 valid, 876289 problematic spliced reads
10300000 valid, 884706 problematic spliced reads
10400000 valid, 893001 problematic spliced reads
10500000 valid, 901687 problematic spliced reads
