Converting /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90046015505/90046015505Aligned.out.bam to /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90046015505/90046015505Aligned.out.bam.junc
100000 valid, 9395 problematic spliced reads
200000 valid, 18717 problematic spliced reads
300000 valid, 27949 problematic spliced reads
400000 valid, 37565 problematic spliced reads
500000 valid, 47233 problematic spliced reads
600000 valid, 56941 problematic spliced reads
700000 valid, 66147 problematic spliced reads
800000 valid, 75511 problematic spliced reads
900000 valid, 84760 problematic spliced reads
1000000 valid, 94144 problematic spliced reads
1100000 valid, 103736 problematic spliced reads
1200000 valid, 112838 problematic spliced reads
1300000 valid, 122180 problematic spliced reads
1400000 valid, 131678 problematic spliced reads
1500000 valid, 141157 problematic spliced reads
1600000 valid, 150775 problematic spliced reads
1700000 valid, 160393 problematic spliced reads
1800000 valid, 170081 problematic spliced reads
1900000 valid, 179632 problematic spliced reads
2000000 valid, 189011 problematic spliced reads
2100000 valid, 198250 problematic spliced reads
2200000 valid, 207586 problematic spliced reads
2300000 valid, 216962 problematic spliced reads
2400000 valid, 226416 problematic spliced reads
2500000 valid, 235713 problematic spliced reads
2600000 valid, 245142 problematic spliced reads
2700000 valid, 254198 problematic spliced reads
2800000 valid, 263555 problematic spliced reads
2900000 valid, 273143 problematic spliced reads
3000000 valid, 282433 problematic spliced reads
3100000 valid, 291853 problematic spliced reads
3200000 valid, 301231 problematic spliced reads
3300000 valid, 310672 problematic spliced reads
3400000 valid, 320148 problematic spliced reads
3500000 valid, 329489 problematic spliced reads
3600000 valid, 338859 problematic spliced reads
3700000 valid, 348335 problematic spliced reads
3800000 valid, 357706 problematic spliced reads
3900000 valid, 367122 problematic spliced reads
4000000 valid, 376449 problematic spliced reads
4100000 valid, 385854 problematic spliced reads
4200000 valid, 395358 problematic spliced reads
4300000 valid, 404810 problematic spliced reads
4400000 valid, 414260 problematic spliced reads
4500000 valid, 423530 problematic spliced reads
4600000 valid, 433098 problematic spliced reads
4700000 valid, 442504 problematic spliced reads
4800000 valid, 452148 problematic spliced reads
4900000 valid, 461554 problematic spliced reads
5000000 valid, 471202 problematic spliced reads
5100000 valid, 480671 problematic spliced reads
5200000 valid, 490085 problematic spliced reads
5300000 valid, 499483 problematic spliced reads
5400000 valid, 508921 problematic spliced reads
5500000 valid, 518297 problematic spliced reads
5600000 valid, 527891 problematic spliced reads
5700000 valid, 537367 problematic spliced reads
5800000 valid, 546787 problematic spliced reads
5900000 valid, 556180 problematic spliced reads
6000000 valid, 565562 problematic spliced reads
6100000 valid, 574936 problematic spliced reads
6200000 valid, 584388 problematic spliced reads
6300000 valid, 593704 problematic spliced reads
6400000 valid, 603055 problematic spliced reads
6500000 valid, 612564 problematic spliced reads
6600000 valid, 622022 problematic spliced reads
6700000 valid, 631496 problematic spliced reads
6800000 valid, 640815 problematic spliced reads
6900000 valid, 650147 problematic spliced reads
7000000 valid, 659429 problematic spliced reads
7100000 valid, 668820 problematic spliced reads
7200000 valid, 678267 problematic spliced reads
7300000 valid, 687686 problematic spliced reads
7400000 valid, 697094 problematic spliced reads
7500000 valid, 706440 problematic spliced reads
7600000 valid, 715840 problematic spliced reads
7700000 valid, 725074 problematic spliced reads
7800000 valid, 734447 problematic spliced reads
7900000 valid, 743851 problematic spliced reads
8000000 valid, 753317 problematic spliced reads
8100000 valid, 762771 problematic spliced reads
8200000 valid, 772072 problematic spliced reads
8300000 valid, 781293 problematic spliced reads
8400000 valid, 790345 problematic spliced reads
8500000 valid, 799628 problematic spliced reads
8600000 valid, 808994 problematic spliced reads
8700000 valid, 818425 problematic spliced reads
8800000 valid, 827757 problematic spliced reads
8900000 valid, 837374 problematic spliced reads
9000000 valid, 846675 problematic spliced reads
9100000 valid, 856145 problematic spliced reads
9200000 valid, 865541 problematic spliced reads
9300000 valid, 874899 problematic spliced reads
9400000 valid, 884209 problematic spliced reads
9500000 valid, 893590 problematic spliced reads
9600000 valid, 902951 problematic spliced reads
9700000 valid, 912204 problematic spliced reads
9800000 valid, 921441 problematic spliced reads
9900000 valid, 930798 problematic spliced reads
10000000 valid, 940168 problematic spliced reads
10100000 valid, 949764 problematic spliced reads
10200000 valid, 959120 problematic spliced reads
10300000 valid, 968372 problematic spliced reads
10400000 valid, 977819 problematic spliced reads
10500000 valid, 987267 problematic spliced reads
10600000 valid, 996686 problematic spliced reads
10700000 valid, 1005870 problematic spliced reads
10800000 valid, 1015451 problematic spliced reads
10900000 valid, 1024816 problematic spliced reads
11000000 valid, 1034014 problematic spliced reads
11100000 valid, 1043234 problematic spliced reads
11200000 valid, 1052472 problematic spliced reads
11300000 valid, 1061921 problematic spliced reads
11400000 valid, 1071238 problematic spliced reads
11500000 valid, 1080534 problematic spliced reads
11600000 valid, 1090130 problematic spliced reads
11700000 valid, 1099635 problematic spliced reads
11800000 valid, 1108831 problematic spliced reads
11900000 valid, 1118262 problematic spliced reads
12000000 valid, 1127549 problematic spliced reads
12100000 valid, 1136963 problematic spliced reads
12200000 valid, 1146195 problematic spliced reads
12300000 valid, 1155481 problematic spliced reads
12400000 valid, 1164990 problematic spliced reads
12500000 valid, 1174392 problematic spliced reads
12600000 valid, 1183723 problematic spliced reads
12700000 valid, 1193074 problematic spliced reads
12800000 valid, 1202326 problematic spliced reads
12900000 valid, 1211755 problematic spliced reads
13000000 valid, 1221084 problematic spliced reads
13100000 valid, 1230442 problematic spliced reads
13200000 valid, 1239706 problematic spliced reads
13300000 valid, 1248999 problematic spliced reads
13400000 valid, 1258192 problematic spliced reads
13500000 valid, 1267565 problematic spliced reads
13600000 valid, 1276943 problematic spliced reads
13700000 valid, 1286264 problematic spliced reads
13800000 valid, 1295577 problematic spliced reads
13900000 valid, 1304921 problematic spliced reads
14000000 valid, 1314167 problematic spliced reads
14100000 valid, 1323470 problematic spliced reads
14200000 valid, 1333004 problematic spliced reads
14300000 valid, 1342247 problematic spliced reads
14400000 valid, 1351524 problematic spliced reads
14500000 valid, 1360871 problematic spliced reads
14600000 valid, 1370244 problematic spliced reads
14700000 valid, 1379596 problematic spliced reads
14800000 valid, 1388752 problematic spliced reads
14900000 valid, 1398103 problematic spliced reads
15000000 valid, 1407566 problematic spliced reads
15100000 valid, 1416761 problematic spliced reads
15200000 valid, 1426137 problematic spliced reads
15300000 valid, 1435483 problematic spliced reads
15400000 valid, 1444845 problematic spliced reads
15500000 valid, 1454258 problematic spliced reads
15600000 valid, 1463939 problematic spliced reads
15700000 valid, 1473297 problematic spliced reads
15800000 valid, 1482763 problematic spliced reads
15900000 valid, 1492100 problematic spliced reads
16000000 valid, 1501517 problematic spliced reads
16100000 valid, 1510767 problematic spliced reads
16200000 valid, 1519940 problematic spliced reads
16300000 valid, 1529357 problematic spliced reads
16400000 valid, 1538798 problematic spliced reads
