Converting /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90053015505/90053015505Aligned.out.bam to /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90053015505/90053015505Aligned.out.bam.junc
100000 valid, 8634 problematic spliced reads
200000 valid, 17294 problematic spliced reads
300000 valid, 26194 problematic spliced reads
400000 valid, 34952 problematic spliced reads
500000 valid, 43767 problematic spliced reads
600000 valid, 52304 problematic spliced reads
700000 valid, 61195 problematic spliced reads
800000 valid, 69988 problematic spliced reads
900000 valid, 78682 problematic spliced reads
1000000 valid, 87438 problematic spliced reads
1100000 valid, 96208 problematic spliced reads
1200000 valid, 104823 problematic spliced reads
1300000 valid, 113525 problematic spliced reads
1400000 valid, 122182 problematic spliced reads
1500000 valid, 130813 problematic spliced reads
1600000 valid, 139583 problematic spliced reads
1700000 valid, 148183 problematic spliced reads
1800000 valid, 157082 problematic spliced reads
1900000 valid, 165802 problematic spliced reads
2000000 valid, 174745 problematic spliced reads
2100000 valid, 183376 problematic spliced reads
2200000 valid, 192101 problematic spliced reads
2300000 valid, 200989 problematic spliced reads
2400000 valid, 209619 problematic spliced reads
2500000 valid, 218447 problematic spliced reads
2600000 valid, 227102 problematic spliced reads
2700000 valid, 235765 problematic spliced reads
2800000 valid, 244577 problematic spliced reads
2900000 valid, 253258 problematic spliced reads
3000000 valid, 261947 problematic spliced reads
3100000 valid, 270622 problematic spliced reads
3200000 valid, 279379 problematic spliced reads
3300000 valid, 288040 problematic spliced reads
3400000 valid, 296688 problematic spliced reads
3500000 valid, 305284 problematic spliced reads
3600000 valid, 314070 problematic spliced reads
3700000 valid, 322738 problematic spliced reads
3800000 valid, 331442 problematic spliced reads
3900000 valid, 340318 problematic spliced reads
4000000 valid, 348826 problematic spliced reads
4100000 valid, 357571 problematic spliced reads
4200000 valid, 366372 problematic spliced reads
4300000 valid, 375049 problematic spliced reads
4400000 valid, 383608 problematic spliced reads
4500000 valid, 392242 problematic spliced reads
4600000 valid, 400921 problematic spliced reads
4700000 valid, 409751 problematic spliced reads
4800000 valid, 418434 problematic spliced reads
4900000 valid, 427270 problematic spliced reads
5000000 valid, 435960 problematic spliced reads
5100000 valid, 444791 problematic spliced reads
5200000 valid, 453277 problematic spliced reads
5300000 valid, 461925 problematic spliced reads
5400000 valid, 470572 problematic spliced reads
5500000 valid, 479243 problematic spliced reads
5600000 valid, 487953 problematic spliced reads
5700000 valid, 496596 problematic spliced reads
5800000 valid, 505513 problematic spliced reads
5900000 valid, 514072 problematic spliced reads
6000000 valid, 522755 problematic spliced reads
6100000 valid, 531371 problematic spliced reads
6200000 valid, 540087 problematic spliced reads
6300000 valid, 549068 problematic spliced reads
6400000 valid, 557745 problematic spliced reads
6500000 valid, 566631 problematic spliced reads
6600000 valid, 575444 problematic spliced reads
6700000 valid, 584078 problematic spliced reads
6800000 valid, 592911 problematic spliced reads
6900000 valid, 601777 problematic spliced reads
7000000 valid, 610573 problematic spliced reads
7100000 valid, 619231 problematic spliced reads
7200000 valid, 628028 problematic spliced reads
7300000 valid, 636880 problematic spliced reads
7400000 valid, 645503 problematic spliced reads
7500000 valid, 654045 problematic spliced reads
7600000 valid, 662665 problematic spliced reads
7700000 valid, 671425 problematic spliced reads
7800000 valid, 680105 problematic spliced reads
7900000 valid, 688867 problematic spliced reads
8000000 valid, 697734 problematic spliced reads
8100000 valid, 706300 problematic spliced reads
8200000 valid, 715089 problematic spliced reads
8300000 valid, 723700 problematic spliced reads
8400000 valid, 732533 problematic spliced reads
8500000 valid, 741111 problematic spliced reads
