Converting /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90121015505/90121015505Aligned.out.bam to /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90121015505/90121015505Aligned.out.bam.junc
100000 valid, 8523 problematic spliced reads
200000 valid, 16946 problematic spliced reads
300000 valid, 25324 problematic spliced reads
400000 valid, 33909 problematic spliced reads
500000 valid, 42399 problematic spliced reads
600000 valid, 50984 problematic spliced reads
700000 valid, 59516 problematic spliced reads
800000 valid, 67872 problematic spliced reads
900000 valid, 76240 problematic spliced reads
1000000 valid, 84740 problematic spliced reads
1100000 valid, 92969 problematic spliced reads
1200000 valid, 101473 problematic spliced reads
1300000 valid, 109892 problematic spliced reads
1400000 valid, 118367 problematic spliced reads
1500000 valid, 126819 problematic spliced reads
1600000 valid, 135163 problematic spliced reads
1700000 valid, 143592 problematic spliced reads
1800000 valid, 152079 problematic spliced reads
1900000 valid, 160580 problematic spliced reads
2000000 valid, 169018 problematic spliced reads
2100000 valid, 177402 problematic spliced reads
2200000 valid, 185940 problematic spliced reads
2300000 valid, 194294 problematic spliced reads
2400000 valid, 202628 problematic spliced reads
2500000 valid, 210840 problematic spliced reads
2600000 valid, 219334 problematic spliced reads
2700000 valid, 227764 problematic spliced reads
2800000 valid, 236243 problematic spliced reads
2900000 valid, 244653 problematic spliced reads
3000000 valid, 253092 problematic spliced reads
3100000 valid, 261717 problematic spliced reads
3200000 valid, 270161 problematic spliced reads
3300000 valid, 278742 problematic spliced reads
3400000 valid, 287105 problematic spliced reads
3500000 valid, 295643 problematic spliced reads
3600000 valid, 304129 problematic spliced reads
3700000 valid, 312554 problematic spliced reads
3800000 valid, 320759 problematic spliced reads
3900000 valid, 329260 problematic spliced reads
4000000 valid, 337676 problematic spliced reads
4100000 valid, 346199 problematic spliced reads
4200000 valid, 354566 problematic spliced reads
4300000 valid, 362890 problematic spliced reads
4400000 valid, 371497 problematic spliced reads
4500000 valid, 379811 problematic spliced reads
4600000 valid, 388349 problematic spliced reads
4700000 valid, 396834 problematic spliced reads
4800000 valid, 405290 problematic spliced reads
4900000 valid, 413829 problematic spliced reads
5000000 valid, 422300 problematic spliced reads
5100000 valid, 430681 problematic spliced reads
5200000 valid, 439189 problematic spliced reads
5300000 valid, 447674 problematic spliced reads
5400000 valid, 456042 problematic spliced reads
5500000 valid, 464513 problematic spliced reads
5600000 valid, 472911 problematic spliced reads
5700000 valid, 481306 problematic spliced reads
5800000 valid, 489462 problematic spliced reads
5900000 valid, 497766 problematic spliced reads
6000000 valid, 505950 problematic spliced reads
6100000 valid, 514147 problematic spliced reads
6200000 valid, 522774 problematic spliced reads
6300000 valid, 531094 problematic spliced reads
6400000 valid, 539670 problematic spliced reads
6500000 valid, 548170 problematic spliced reads
6600000 valid, 556752 problematic spliced reads
6700000 valid, 565240 problematic spliced reads
6800000 valid, 573794 problematic spliced reads
6900000 valid, 582145 problematic spliced reads
7000000 valid, 590375 problematic spliced reads
7100000 valid, 598984 problematic spliced reads
7200000 valid, 607496 problematic spliced reads
7300000 valid, 615831 problematic spliced reads
7400000 valid, 624194 problematic spliced reads
7500000 valid, 632656 problematic spliced reads
7600000 valid, 641057 problematic spliced reads
7700000 valid, 649351 problematic spliced reads
7800000 valid, 657914 problematic spliced reads
7900000 valid, 666240 problematic spliced reads
8000000 valid, 674661 problematic spliced reads
8100000 valid, 683076 problematic spliced reads
8200000 valid, 691639 problematic spliced reads
8300000 valid, 700008 problematic spliced reads
8400000 valid, 708575 problematic spliced reads
