Converting /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90041015505/90041015505Aligned.out.bam to /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90041015505/90041015505Aligned.out.bam.junc
100000 valid, 10847 problematic spliced reads
200000 valid, 21891 problematic spliced reads
300000 valid, 32777 problematic spliced reads
400000 valid, 43779 problematic spliced reads
500000 valid, 54468 problematic spliced reads
600000 valid, 65426 problematic spliced reads
700000 valid, 76475 problematic spliced reads
800000 valid, 87053 problematic spliced reads
900000 valid, 97814 problematic spliced reads
1000000 valid, 108594 problematic spliced reads
1100000 valid, 119597 problematic spliced reads
1200000 valid, 130506 problematic spliced reads
1300000 valid, 141310 problematic spliced reads
1400000 valid, 152146 problematic spliced reads
1500000 valid, 162840 problematic spliced reads
1600000 valid, 173548 problematic spliced reads
1700000 valid, 184093 problematic spliced reads
1800000 valid, 195055 problematic spliced reads
1900000 valid, 205744 problematic spliced reads
2000000 valid, 216656 problematic spliced reads
2100000 valid, 227364 problematic spliced reads
2200000 valid, 238095 problematic spliced reads
2300000 valid, 248938 problematic spliced reads
2400000 valid, 259997 problematic spliced reads
2500000 valid, 270717 problematic spliced reads
2600000 valid, 281425 problematic spliced reads
2700000 valid, 292132 problematic spliced reads
2800000 valid, 302798 problematic spliced reads
2900000 valid, 313496 problematic spliced reads
3000000 valid, 324147 problematic spliced reads
3100000 valid, 334796 problematic spliced reads
3200000 valid, 345488 problematic spliced reads
3300000 valid, 356310 problematic spliced reads
3400000 valid, 367109 problematic spliced reads
3500000 valid, 377887 problematic spliced reads
3600000 valid, 388601 problematic spliced reads
3700000 valid, 399106 problematic spliced reads
3800000 valid, 409513 problematic spliced reads
3900000 valid, 420234 problematic spliced reads
4000000 valid, 430649 problematic spliced reads
4100000 valid, 441165 problematic spliced reads
4200000 valid, 451761 problematic spliced reads
4300000 valid, 462502 problematic spliced reads
4400000 valid, 473306 problematic spliced reads
4500000 valid, 484142 problematic spliced reads
4600000 valid, 494889 problematic spliced reads
4700000 valid, 505442 problematic spliced reads
4800000 valid, 516094 problematic spliced reads
4900000 valid, 526716 problematic spliced reads
5000000 valid, 537295 problematic spliced reads
5100000 valid, 547901 problematic spliced reads
