Converting /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90011015505/90011015505Aligned.out.bam to /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90011015505/90011015505Aligned.out.bam.junc
100000 valid, 8470 problematic spliced reads
200000 valid, 16912 problematic spliced reads
300000 valid, 25062 problematic spliced reads
400000 valid, 33207 problematic spliced reads
500000 valid, 41400 problematic spliced reads
600000 valid, 49640 problematic spliced reads
700000 valid, 57951 problematic spliced reads
800000 valid, 66404 problematic spliced reads
900000 valid, 74685 problematic spliced reads
1000000 valid, 82962 problematic spliced reads
1100000 valid, 91258 problematic spliced reads
1200000 valid, 99448 problematic spliced reads
1300000 valid, 107493 problematic spliced reads
1400000 valid, 115903 problematic spliced reads
1500000 valid, 124076 problematic spliced reads
1600000 valid, 132466 problematic spliced reads
1700000 valid, 140609 problematic spliced reads
1800000 valid, 148909 problematic spliced reads
1900000 valid, 157216 problematic spliced reads
2000000 valid, 165509 problematic spliced reads
2100000 valid, 173681 problematic spliced reads
2200000 valid, 181797 problematic spliced reads
2300000 valid, 190082 problematic spliced reads
2400000 valid, 198263 problematic spliced reads
2500000 valid, 206349 problematic spliced reads
2600000 valid, 214568 problematic spliced reads
2700000 valid, 222757 problematic spliced reads
2800000 valid, 231094 problematic spliced reads
2900000 valid, 239134 problematic spliced reads
3000000 valid, 247304 problematic spliced reads
3100000 valid, 255375 problematic spliced reads
3200000 valid, 263772 problematic spliced reads
3300000 valid, 272193 problematic spliced reads
3400000 valid, 280627 problematic spliced reads
3500000 valid, 288941 problematic spliced reads
3600000 valid, 297227 problematic spliced reads
3700000 valid, 305515 problematic spliced reads
3800000 valid, 313793 problematic spliced reads
3900000 valid, 322018 problematic spliced reads
4000000 valid, 330296 problematic spliced reads
4100000 valid, 338558 problematic spliced reads
4200000 valid, 346902 problematic spliced reads
4300000 valid, 354927 problematic spliced reads
4400000 valid, 363336 problematic spliced reads
4500000 valid, 371678 problematic spliced reads
4600000 valid, 380146 problematic spliced reads
4700000 valid, 388202 problematic spliced reads
4800000 valid, 396415 problematic spliced reads
4900000 valid, 404562 problematic spliced reads
5000000 valid, 412878 problematic spliced reads
5100000 valid, 421242 problematic spliced reads
5200000 valid, 429399 problematic spliced reads
5300000 valid, 437581 problematic spliced reads
5400000 valid, 445856 problematic spliced reads
5500000 valid, 454189 problematic spliced reads
5600000 valid, 462453 problematic spliced reads
5700000 valid, 470839 problematic spliced reads
5800000 valid, 479095 problematic spliced reads
5900000 valid, 487408 problematic spliced reads
6000000 valid, 495678 problematic spliced reads
6100000 valid, 503958 problematic spliced reads
6200000 valid, 512310 problematic spliced reads
6300000 valid, 520749 problematic spliced reads
6400000 valid, 529075 problematic spliced reads
6500000 valid, 537364 problematic spliced reads
6600000 valid, 545649 problematic spliced reads
6700000 valid, 553966 problematic spliced reads
6800000 valid, 562283 problematic spliced reads
6900000 valid, 570752 problematic spliced reads
7000000 valid, 579162 problematic spliced reads
7100000 valid, 587366 problematic spliced reads
7200000 valid, 595707 problematic spliced reads
7300000 valid, 604034 problematic spliced reads
7400000 valid, 612380 problematic spliced reads
