Converting /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90037015505/90037015505Aligned.out.bam to /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90037015505/90037015505Aligned.out.bam.junc
100000 valid, 9214 problematic spliced reads
200000 valid, 18562 problematic spliced reads
300000 valid, 28021 problematic spliced reads
400000 valid, 37328 problematic spliced reads
500000 valid, 46813 problematic spliced reads
600000 valid, 56305 problematic spliced reads
700000 valid, 65558 problematic spliced reads
800000 valid, 74946 problematic spliced reads
900000 valid, 84507 problematic spliced reads
1000000 valid, 94003 problematic spliced reads
1100000 valid, 103437 problematic spliced reads
1200000 valid, 112871 problematic spliced reads
1300000 valid, 122364 problematic spliced reads
1400000 valid, 131651 problematic spliced reads
1500000 valid, 141031 problematic spliced reads
1600000 valid, 150294 problematic spliced reads
1700000 valid, 159667 problematic spliced reads
1800000 valid, 168758 problematic spliced reads
1900000 valid, 178094 problematic spliced reads
2000000 valid, 187352 problematic spliced reads
2100000 valid, 196716 problematic spliced reads
2200000 valid, 206266 problematic spliced reads
2300000 valid, 215715 problematic spliced reads
2400000 valid, 225096 problematic spliced reads
2500000 valid, 234416 problematic spliced reads
2600000 valid, 243645 problematic spliced reads
2700000 valid, 253016 problematic spliced reads
2800000 valid, 262527 problematic spliced reads
2900000 valid, 271952 problematic spliced reads
3000000 valid, 281347 problematic spliced reads
3100000 valid, 290730 problematic spliced reads
3200000 valid, 300061 problematic spliced reads
3300000 valid, 309268 problematic spliced reads
3400000 valid, 318710 problematic spliced reads
3500000 valid, 328052 problematic spliced reads
3600000 valid, 337391 problematic spliced reads
3700000 valid, 346744 problematic spliced reads
3800000 valid, 356072 problematic spliced reads
3900000 valid, 365438 problematic spliced reads
4000000 valid, 374929 problematic spliced reads
4100000 valid, 384000 problematic spliced reads
4200000 valid, 393516 problematic spliced reads
4300000 valid, 402921 problematic spliced reads
4400000 valid, 412376 problematic spliced reads
4500000 valid, 421693 problematic spliced reads
4600000 valid, 431215 problematic spliced reads
4700000 valid, 440763 problematic spliced reads
4800000 valid, 450196 problematic spliced reads
4900000 valid, 459539 problematic spliced reads
5000000 valid, 468893 problematic spliced reads
5100000 valid, 478131 problematic spliced reads
5200000 valid, 487566 problematic spliced reads
5300000 valid, 496899 problematic spliced reads
5400000 valid, 506260 problematic spliced reads
5500000 valid, 515520 problematic spliced reads
5600000 valid, 524912 problematic spliced reads
5700000 valid, 534288 problematic spliced reads
5800000 valid, 543652 problematic spliced reads
5900000 valid, 553102 problematic spliced reads
6000000 valid, 562644 problematic spliced reads
6100000 valid, 572158 problematic spliced reads
6200000 valid, 581579 problematic spliced reads
6300000 valid, 591104 problematic spliced reads
6400000 valid, 600497 problematic spliced reads
6500000 valid, 609859 problematic spliced reads
6600000 valid, 619252 problematic spliced reads
6700000 valid, 628701 problematic spliced reads
6800000 valid, 638112 problematic spliced reads
6900000 valid, 647444 problematic spliced reads
7000000 valid, 656733 problematic spliced reads
7100000 valid, 666131 problematic spliced reads
7200000 valid, 675430 problematic spliced reads
7300000 valid, 684799 problematic spliced reads
7400000 valid, 693985 problematic spliced reads
7500000 valid, 703487 problematic spliced reads
7600000 valid, 712848 problematic spliced reads
7700000 valid, 722176 problematic spliced reads
7800000 valid, 731422 problematic spliced reads
7900000 valid, 740807 problematic spliced reads
8000000 valid, 749977 problematic spliced reads
8100000 valid, 759359 problematic spliced reads
8200000 valid, 768781 problematic spliced reads
8300000 valid, 778036 problematic spliced reads
8400000 valid, 787491 problematic spliced reads
8500000 valid, 796852 problematic spliced reads
8600000 valid, 806251 problematic spliced reads
8700000 valid, 815721 problematic spliced reads
8800000 valid, 825111 problematic spliced reads
8900000 valid, 834417 problematic spliced reads
9000000 valid, 843610 problematic spliced reads
9100000 valid, 852866 problematic spliced reads
9200000 valid, 862213 problematic spliced reads
9300000 valid, 871569 problematic spliced reads
9400000 valid, 881148 problematic spliced reads
9500000 valid, 890557 problematic spliced reads
9600000 valid, 899949 problematic spliced reads
9700000 valid, 909450 problematic spliced reads
9800000 valid, 918813 problematic spliced reads
9900000 valid, 928190 problematic spliced reads
10000000 valid, 937398 problematic spliced reads
